repo,bug_category,commit_hash,date,author,message,score,diff_snippet
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits,Environment / Configuration,9c22f361b0,2023-05-08T14:27:21Z,Sou-Cheng Choi,Fix a unit test,3,"---FILE: makefile---
@@ -54,7 +54,7 @@ fasttests:
 	coverage run -m pytest tests/test_dot.py
 
 longtests:
-        #coverage run -m pytest 
+    #coverage run -m pytest
 	coverage run -m pytest tests/test_ifs.py
 
 cove..."
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits,Documentation / Formatting,253c7e9341,2023-01-28T21:28:24Z,Sou-Cheng Choi,Fix documentation,7,"---FILE: README.md---
@@ -26,7 +26,7 @@ df = bop.download_data()
 
 ## Contributing
 
-Interested in contributing? Check out the contributing guidelines. Please note that this project is released with a [Code of Conduct]..."
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits,Documentation / Formatting,a349a41603,2022-11-26T12:48:11Z,Sou-Cheng Choi,Fix pypi release issue,6,"---FILE: README.md---
@@ -3,8 +3,6 @@
 A package for data discovery and extraction from the International Monetary Fund (IMF)!
 This repository contains Python source code and Jupyter notebooks with examples on how to ex..."
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits,Documentation / Formatting,ffdcc2a1c9,2022-12-08T23:54:49Z,Sou-Cheng Choi,"Multiple improvements

(1) Added Google style documentation and inline comments.
(2) Fixed a but on getting meta data re...",4,"---FILE: src/imfdatapy/imf.py---
@@ -1,72 +1,80 @@
 """"""
-Authors: Sou-Cheng Choi and Irina Klein, Illinois Institute of Technology
-Updated Date: Nov 24, 2022
+Authors: Sou-Cheng T. Choi and Irina Klein, Illinois Institu..."
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits,Rendering / Conversion,88ae35d911,2023-02-02T17:39:59Z,Sou-Cheng Choi,Fix automated tests on GitHub,3,"---FILE: .github/workflows/imfdatapy_test.yml---
@@ -3,26 +3,30 @@ name: imfdatapy
 on: [push]
 
 jobs:
-  build:
-
-    runs-on: ubuntu-latest
-    strategy:
-      matrix:
-        python-version: [""3.8""]
-
+  example-..."
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits,Rendering / Conversion,0aa68477b2,2023-02-04T02:15:18Z,Irina Klein,fix search term for indicator issue,0,"---FILE: src/imfdatapy/imf.py---
@@ -74,11 +74,14 @@ def __init__(self, series='IFS', search_terms=None, countries=None, period='Q',
         self.des_list = []
         self.id_list = []
 
+        self._indicator_dim_p..."
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits,Rendering / Conversion,4f0b964ff8,2022-12-10T22:29:18Z,Sou-Cheng Choi,Fix tests for IFS,0,"---FILE: tests/test_ifs.py---
@@ -5,11 +5,11 @@
 class MyTestCase(unittest.TestCase):
 
     def test_imf_oo(self):
-        ifs = IMF()
+        ifs = IFS()
         self.assertEqual(ifs.start_date, None)
 
     def tes..."
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits,Data / Input Handling,845e3467ca,2023-02-02T23:10:04Z,Sou-Cheng Choi,fix automated tests (almost there!),3,"---FILE: .github/workflows/imfdatapy_test.yml---
@@ -36,4 +36,5 @@ jobs:
         run: |
           conda list
           pip install pytest pytest-cov
+          pip install -e .
           pytest tests/ --doctest-modul..."
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits,Data / Input Handling,0decd27eb1,2023-02-02T23:04:33Z,Sou-Cheng Choi,fix automated tests (almost there!),3,"---FILE: .github/workflows/imfdatapy_test.yml---
@@ -35,5 +35,5 @@ jobs:
       - name: Test with pytest
         run: |
           conda list
-          conda install pytest pytest-cov
+          pip install pytest pyte..."
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits,Data / Input Handling,c4ec11f7ea,2023-02-02T22:57:36Z,Sou-Cheng Choi,fix automated tests (almost there!),3,"---FILE: .github/workflows/imfdatapy_test.yml---
@@ -35,4 +35,5 @@ jobs:
       - name: Test with pytest
         run: |
           conda list
+          conda install pytest pytest-cov
           pytest tests/ --doctest..."
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits,Implementation / Logic,dff1c46f5a,2022-12-12T22:21:31Z,Sou-Cheng Choi,Fix a test failure,3,"---FILE: src/imfdatapy/imf.py---
@@ -80,6 +80,7 @@ def __init__(self, series='IFS', search_terms=None, countries=None, period='Q',
         self.des_list = []
         self.id_list = []
 
+        # Control for rate limi..."
