repo,n_commits,coverage,low_conf,unknown_pct,suspects_pct,status,reasons,base
CDCgov_MIRA_bug_commits_classified,33,0.7576,0.303,0.0,0.0,FAIL,Coverage 75.8% < 85% ; LowConf 30.3% > 15%,data_bug\CDCgov_MIRA_bug_commits\CDCgov_MIRA_bug_commits_classified
rjournal_rjournal.github.io_bug_commits_classified,241,0.8133,0.2365,0.0,0.0,FAIL,Coverage 81.3% < 85% ; LowConf 23.7% > 15%,data_bug\rjournal_rjournal.github.io_bug_commits\rjournal_rjournal.github.io_bug_commits_classified
KDE_rkward_bug_commits_classified,1728,0.8478,0.3819,0.0,0.0,FAIL,Coverage 84.8% < 85% ; LowConf 38.2% > 15%,data_bug\KDE_rkward_bug_commits\KDE_rkward_bug_commits_classified
chapter-three_next-drupal_bug_commits_classified,332,0.8494,0.3223,0.0,0.0,FAIL,Coverage 84.9% < 85% ; LowConf 32.2% > 15%,data_bug\chapter-three_next-drupal_bug_commits\chapter-three_next-drupal_bug_commits_classified
tidyverse_readxl_bug_commits_classified,132,0.8939,0.1212,0.0,0.0,PASS,,data_bug\tidyverse_readxl_bug_commits\tidyverse_readxl_bug_commits_classified
Triangle-Modeling-and-Analytics_TRMG2_bug_commits_classified,152,0.9145,0.1118,0.0,0.0,PASS,,data_bug\Triangle-Modeling-and-Analytics_TRMG2_bug_commits\Triangle-Modeling-and-Analytics_TRMG2_bug_commits_classified
Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits_classified,26,0.9231,0.1154,0.0,0.0,PASS,,data_bug\Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits\Economic-and-Financial-Data-Discovery_imfdatapy_bug_commits_classified
rstudio_bslib_bug_commits_classified,242,0.938,0.0744,0.0,0.0,PASS,,data_bug\rstudio_bslib_bug_commits\rstudio_bslib_bug_commits_classified
biol607_biol607.github.io_bug_commits_classified,113,0.9381,0.1062,0.0,0.0,PASS,,data_bug\biol607_biol607.github.io_bug_commits\biol607_biol607.github.io_bug_commits_classified
tidyverse_tidyverse.org_bug_commits_classified,203,0.9409,0.0985,0.0,0.0,PASS,,data_bug\tidyverse_tidyverse.org_bug_commits\tidyverse_tidyverse.org_bug_commits_classified
rstudio_rticles_bug_commits_classified,135,0.9481,0.0815,0.0,0.0,PASS,,data_bug\rstudio_rticles_bug_commits\rstudio_rticles_bug_commits_classified
nipraxis_textbook_bug_commits_classified,78,0.9487,0.0641,0.0,0.0,PASS,,data_bug\nipraxis_textbook_bug_commits\nipraxis_textbook_bug_commits_classified
andrewmarx_samc_bug_commits_classified,123,0.9512,0.0569,0.0,0.0,PASS,,data_bug\andrewmarx_samc_bug_commits\andrewmarx_samc_bug_commits_classified
compsocialscience_summer-institute_bug_commits_classified,746,0.9531,0.0643,0.0,0.0,PASS,,data_bug\compsocialscience_summer-institute_bug_commits\compsocialscience_summer-institute_bug_commits_classified
emptyfield-ds_teaching_warehouse_bug_commits_classified,66,0.9545,0.0455,0.0,0.0,PASS,,data_bug\emptyfield-ds_teaching_warehouse_bug_commits\emptyfield-ds_teaching_warehouse_bug_commits_classified
gaynorr_AlphaSimR_bug_commits_classified,102,0.9706,0.049,0.0,0.0,PASS,,data_bug\gaynorr_AlphaSimR_bug_commits\gaynorr_AlphaSimR_bug_commits_classified
rafalab_dsbook_bug_commits_classified,138,0.971,0.0362,0.0,0.0,PASS,,data_bug\rafalab_dsbook_bug_commits\rafalab_dsbook_bug_commits_classified
wkumler_RaMS_bug_commits_classified,69,0.971,0.029,0.0,0.0,PASS,,data_bug\wkumler_RaMS_bug_commits\wkumler_RaMS_bug_commits_classified
NBISweden_workshop-mlbiostatistics_bug_commits_classified,70,0.9714,0.0714,0.0,0.0,PASS,,data_bug\NBISweden_workshop-mlbiostatistics_bug_commits\NBISweden_workshop-mlbiostatistics_bug_commits_classified
