repo,bug_category,commit_hash,date,author,message,score,diff_snippet
ArgoCanada_argoFloats_bug_commits,Implementation / Logic,381a2b913c,2025-10-28T14:40:53Z,dankelley,Skip downloadWithRetries() tests (re. issue #605),6,"---FILE: tests/testthat/test_download.R---
@@ -1,6 +1,8 @@
 ## vim:textwidth=128:expandtab:shiftwidth=4:softtabstop=4
 data(""index"")
 
+test_downloadWithRetries <- FALSE # see discussion on issue #605
+
 context(""bgc dow..."
ArgoCanada_argoFloats_bug_commits,Implementation / Logic,507b223431,2025-10-28T13:47:18Z,dankelley,reindent test_merge.R to show changes for issue #605,6,"---FILE: tests/testthat/test_merge.R---
@@ -6,28 +6,21 @@ context(""merge data"")
 data(index)
 data(indexBgc)
 
-test_that(""test merging core data"",
-          {
-              C <- expect_message(subset(index, circle=lis..."
ArgoCanada_argoFloats_bug_commits,Implementation / Logic,cc61158a05,2025-10-28T13:45:31Z,dankelley,test_subset update for issue #605,6,"---FILE: tests/testthat/test_subset.R---
@@ -94,26 +94,30 @@ test_that(""subset by cycle"", {
 
 test_that(""subset by profile"", {
     skip_if_not(hasArgoTestCache())
-    i <- getIndex(quiet = TRUE)
-    N <- sum(i[[""ID""]..."
ArgoCanada_argoFloats_bug_commits,Rendering / Conversion,6edd60287a,2021-09-13T11:26:48Z,dankelley,"maybe this fixes pandoc for R-CMD-check

https://github.com/r-lib/actions/issues/378",7,"---FILE: .github/workflows/R-CMD-check.yaml---
@@ -18,11 +18,11 @@ jobs:
     steps:
       - uses: actions/checkout@v2
       - uses: r-lib/actions/setup-r@v1
-          
+      - uses: r-lib/actions/setup-pandoc@v1
   ..."
ArgoCanada_argoFloats_bug_commits,Rendering / Conversion,35659c2a13,2020-06-17T14:41:44Z,Jaimie Harbin,fix video 04 + add tweet thread,6,"---FILE: sandbox/jlh/18_tweets/tweetThread.Rmd---
@@ -0,0 +1,69 @@
+---
+title: ""Tweet Thread""
+output: html_document
+---
+
+# Tweet One
+
+Hi Argo community! I want to introduce you to a newly developed package R packa..."
ArgoCanada_argoFloats_bug_commits,Rendering / Conversion,2338fdffb3,2020-07-23T11:52:22Z,Jaimie Harbin,issue 172,6,"---FILE: docs/404.html---
@@ -89,6 +89,18 @@
 <li>
   <a href=""reference/index.html"">Reference</a>
 </li>
+<li class=""dropdown"">
+  <a href=""#"" class=""dropdown-toggle"" data-toggle=""dropdown"" role=""button"" aria-expanded=""..."
ArgoCanada_argoFloats_bug_commits,Documentation / Formatting,80b2752e68,2023-10-08T09:38:57Z,dankelley,fix spelling and URL errors,7,"---FILE: DESCRIPTION---
@@ -8,7 +8,7 @@ Authors@R: c(
     person(given=""Jaimie"", family=""Harbin"", email=""jm810136@dal.ca"", role=c(""aut""),
         comment=c(ORCID=""https://orcid.org/0000-0003-3774-3732"")),
     person(g..."
ArgoCanada_argoFloats_bug_commits,Documentation / Formatting,a38387b2e2,2023-03-08T16:59:29Z,dankelley,"correct a spelling error in a help page

Also, I ran the full check_package.R suite.  I don't yet have the
results from ...",7,"---FILE: R/get.R---
@@ -312,7 +312,7 @@ getProfileFromUrl <- function(url=NULL, destdir=argoDefaultDestdir(), destfile=N
 #' R archive file (ending in `.rda`) that is stored locally. The `.gz` file
 #' is discarded by de..."
ArgoCanada_argoFloats_bug_commits,Documentation / Formatting,1616646783,2023-03-02T17:54:29Z,dankelley,"Address issues 584, 585 and 587, + related things

This is an aggregating commit for changes done in an attempt to addre...",7,"---FILE: NAMESPACE---
@@ -6,10 +6,13 @@ export(argoDefaultDestdir)
 export(argoDefaultIndexAge)
 export(argoDefaultProfileAge)
 export(argoDefaultServer)
+export(argoFloatsClearCache)
 export(argoFloatsDebug)
 export(arg..."
ArgoCanada_argoFloats_bug_commits,Dependency / Package,fdd9046b16,2021-09-03T11:52:24Z,dankelley,"Update DESCRIPTION

Fix missing-) problem.",7,"---FILE: DESCRIPTION---
@@ -1,7 +1,7 @@
 Package: argoFloats
 Type: Package
 Title: Analysis of Oceanographic Argo Floats
-Version: 1.0.0
+Version: 1.0.1
 Authors@R: c(
     person(given=""Dan"", family=""Kelley"", email=""da..."
