path,count
R/plot.R,55
R/mapApp.R,45
R/AllClass.R,44
R/subset.R,42
R/get.R,34
inst/shiny/mapApp/app.R,32
man/subset-argoFloats-method.Rd,32
DESCRIPTION,22
tests/testthat/test_download.R,20
tests/testthat/test_subset.R,19
NAMESPACE,17
R/read.R,16
man/plot-argoFloats-method.Rd,14
R/misc.R,12
man/readProfiles.Rd,11
vignettes/argoFloats.Rmd,10
man/getIndex.Rd,10
R/qc.R,10
R/download.R,10
tests/testthat/test_accessors.R,10
.Rbuildignore,9
.gitignore,8
vignettes/qc.Rmd,7
man/useAdjusted.Rd,7
man/sub-sub-argoFloats-method.Rd,7
man/applyQC.Rd,7
docs/reference/argoFloatsDebug.html,6
man/getProfiles.Rd,6
man/indexBgc.Rd,6
docs/pkgdown.yml,6
man/plot-argoFloats-ANY-method.Rd,6
docs/articles/argoFloats.html,6
man/showQCTests.Rd,6
man/indexSynthetic.Rd,6
man/index.Rd,5
tests/testthat/test_datasets.R,5
man/getProfileFromUrl.Rd,5
NEWS.md,5
vignettes/qc.R,5
tests/testthat/test_merge.R,5
.github/workflows/R-CMD-check.yaml,5
man/argoFloats-methods.Rd,4
.github/workflows/pkgdown.yaml,4
inst/WORDLIST,4
man/mapApp.Rd,4
tests/testthat/test_plot.R,4
R/debug.R,4
README.md,4
.github/workflows/test-coverage.yaml,4
docs/reference/plot-argoFloats-method.html,3
