path,count
r-code.Rmd,8
description-file.Rmd,7
package-submission.Rmd,6
troubleshoot-build-report.Rmd,5
documentation.Rmd,5
git-version-control.Rmd,5
DESCRIPTION,4
non-software-packages.Rmd,4
index.Rmd,4
general-package-development.Rmd,4
important-bioc-features.Rmd,3
.github/workflows/build_deploy.yaml,3
review-expectations.Rmd,3
_bookdown.yml,3
install-file.Rmd,3
package-end-of-life.Rmd,3
fortran-C-python.Rmd,3
package-data.Rmd,3
package-name.Rmd,3
review-resources-and-tools.Rmd,2
docs/package-review-checklist.md,2
c-and-fortran.Rmd,2
packages.bib,2
gitignore-file.Rmd,2
namespace-file.Rmd,2
README.md,2
debug-rd-links.Rmd,1
images/rename_branch_github_screen.png,1
branch-rename-faq.Rmd,1
references.Rmd,1
_output.yml,1
debugging-c-code.Rmd,1
devel-branch.Rmd,1
deprecation.Rmd,1
citation-file.Rmd,1
devguide-introduction.Rmd,1
devguide-conclusion.Rmd,1
long-tests.Rmd,1
license-file.Rmd,1
mavericks.Rmd,1
news-file.Rmd,1
news-for-bookdown.Rmd,1
package-maintainence.Rmd,1
readme-file.Rmd,1
review-overview.Rmd,1
shiny-apps.Rmd,1
unit-tests.Rmd,1
version-numbering.Rmd,1
volunteer-to-review.Rmd,1
efficient-code.Rmd,1
