repo,bug_category,commit_hash,date,author,message,score,diff_snippet
CDCgov_MIRA_bug_commits,Rendering / Conversion,ed4533f149,2024-10-30T14:21:06Z,Amanda Sullivan,fixing second image,3,
CDCgov_MIRA_bug_commits,Rendering / Conversion,a6758f5f92,2024-09-23T14:41:01Z,kristinelacek,"fix mac cli instructions, expand test data structure explanation",3,"---FILE: vignettes/mira-cli-installation.Rmd---
@@ -77,7 +77,7 @@ If this command returns an error relating to permissions, try again with `sudo`
 - unzip the file and find two folders:
     1. `tiny_test_run_flu`
     2..."
CDCgov_MIRA_bug_commits,Rendering / Conversion,f79de81f6f,2023-09-15T13:34:36Z,KristineLacek,"version, fix 1 table, credit MKeller MWilson",3,"---FILE: vignettes/s-gene-rt-pcr.Rmd---
@@ -0,0 +1,34 @@
+#### Table 3: RT-PCR master mix for each SARS-CoV-2 amplicon
+
+<table class=""center"">
+<tr>
+<th>Reagent</th>
+<th>Volume (µL) Per Reaction</th>
+<th>µL Per Mast..."
CDCgov_MIRA_bug_commits,Documentation / Formatting,6de4863a99,2024-09-24T15:47:09Z,rchau88,fix hypenation in docs,7,"---FILE: .gitignore---
@@ -22,3 +22,4 @@ scripts/__pycache__/muscle.cpython-37.pyc
 # ignore specific files
 change_log.txt
 docker-compose-dev.yml
+.Rproj.user

---FILE: _pkgdown.yml---
@@ -3,7 +3,9 @@ url: https://cdcg..."
CDCgov_MIRA_bug_commits,Documentation / Formatting,023ebd80de,2024-09-23T18:13:16Z,Amanda Sullivan,hot fix the docs,4,"---FILE: vignettes/mira-dd-getting-started.Rmd---
@@ -26,18 +26,57 @@ When setting up the configuration for a Windows computer, we recommend using the
 
 <hr>
 
-## MIRA Installation within Docker Desktop
+## Pull MIRA I..."
CDCgov_MIRA_bug_commits,Documentation / Formatting,49db1a8600,2023-10-12T16:58:04Z,KristineLacek,upgrade docs hotfix,4,"---FILE: vignettes/upgrading-mira.Rmd---
@@ -5,21 +5,28 @@
    ```bash
     cd ~/FLU_SC2_SEQUENCING
    ```
-2. Remove older MIRA versions (or iSpy or IRMA-spy if that's what you had installed)
+
+2. Remove current runni..."
CDCgov_MIRA_bug_commits,Implementation / Logic,26386221b9,2024-09-23T15:45:43Z,kristinelacek,cli instructions typo fixes,6,"---FILE: vignettes/running-mira-cli-illumina.Rmd---
@@ -48,7 +48,9 @@ sample_4,Test
 
 ## Run Genome Assembly with MIRA-CLI
 
-### Start the containers
+### Start the MIRA container
+
+* If MIRA is running, you should se..."
CDCgov_MIRA_bug_commits,Implementation / Logic,e06b3cb6b3,2024-09-23T15:32:55Z,kristinelacek,"typo fixes, more details",6,"---FILE: vignettes/running-mira-cli-illumina.Rmd---
@@ -36,12 +36,12 @@ sample_4,Test
 ![](images/mira_cli_run_directory_structure.png)
 
 * Copy the run's demultiplexed fastqs into the RUN-FOLDER.
-    * Create another ..."
CDCgov_MIRA_bug_commits,Implementation / Logic,485c5fa6fb,2024-01-08T17:39:01Z,KristineLacek,frameshift correction instructions,6,"---FILE: vignettes/nanopore-frameshift-correction.Rmd---
@@ -0,0 +1,76 @@
+# Correcting Frameshifts in Nanopore MIRA data
+Oxford Nanopore data is known to have an increased error rate when calling bases in a homopolymer..."
CDCgov_MIRA_bug_commits,Environment / Configuration,98541d4bb5,2024-09-10T20:29:11Z,rchau88,fix docker compose and path to start MIRA-CLI,7,"---FILE: .gitignore---
@@ -21,3 +21,4 @@ scripts/__pycache__/muscle.cpython-37.pyc
 
 # ignore specific files
 change_log.txt
+docker-compose-dev.yml

---FILE: Dockerfile---
@@ -1,10 +1,15 @@
-
 # Create an argument to p..."
CDCgov_MIRA_bug_commits,Environment / Configuration,7a81da1308,2022-10-28T00:44:47Z,Ben Rambo-Martin,call relative paths to sc2-spike-seq; dev yaml fixes; dais ingress to handle \N,4,"---FILE: app.py---
@@ -109,7 +109,7 @@ def single_sample_fig(irma_path, sample, cov_linear_y):
 def generate_df(irma_path):
     if not irma_path:
         raise dash.exceptions.PreventUpdate
-    irma_path = os.path.joi..."
CDCgov_MIRA_bug_commits,Environment / Configuration,8982796f93,2022-10-28T18:36:55Z,Ben Rambo-Martin,"working, but need to deal with initial error cascade when irma files are not yet present....",3,"---FILE: scripts/config_create.py---
@@ -77,7 +77,7 @@ def reverse_complement(seq):
     elif ""sc2"" in experiment_type.lower():
         snakefile_path += ""sc2_spike_snakefile""
     snake_cmd = (
-        ""snakemake -s ""..."
CDCgov_MIRA_bug_commits,Reproducibility / Versioning,6edc2c4766,2024-03-28T16:44:35Z,KristineLacek,version patch bump and changelog,7,"---FILE: DESCRIPTION---
@@ -1,8 +1,8 @@
 Package: MIRA
 Type: Package
 Title: Dashboard for Influenza and SARS-COV-2 Spike-Gene Genome Assembly and Curation
-Version: 1.1.3
-Date: 2023-08-08
+Version: 1.1.3.1
+Date: 2024..."
CDCgov_MIRA_bug_commits,Reproducibility / Versioning,f2c8d37004,2024-02-06T12:46:30Z,Ben Rambo-Martin,fixed new version modal,1,"---FILE: app.py---
@@ -49,9 +49,9 @@
 DEPLOY = CONFIG[""DEPLOY""]
 AVAILABLE_VERSION = CONFIG[""VERSION_URL""]
 if DEPLOY:
-    check_version_interval = 3000
-else:
     check_version_interval = 1000 * 60 * 60 * 24  # millis..."
CDCgov_MIRA_bug_commits,Dependency / Package,940dd594ff,2024-02-06T14:02:45Z,Ben Rambo-Martin,fixed coverage plot display,3,"---FILE: app.py---
@@ -86,17 +86,6 @@ def select_primers(exp_type):
         Input(""assembly-button"", ""n_clicks""),
     ],
 )
-
-def current_version():
-    descript_dict = {}
-    with open(""/MIRA/DESCRIPTION"", 'r') as ..."
CDCgov_MIRA_bug_commits,Data / Input Handling,db5ed2e3cf,2023-09-28T16:39:21Z,KristineLacek,fix irma container,3,"---FILE: docker-compose-git.yml---
@@ -41,9 +41,7 @@ services:
 
   irma: 
     container_name: irma
-    image: irma:latest
-    build:
-      context: *irma-version
+    image: *irma-version
     restart: always..."
