repo,bug_category,commit_hash,date,author,message,score,diff_snippet
IndrajeetPatil_ggstatsplot_bug_commits,Documentation / Formatting,6532bdb94a,2025-07-28T19:07:44Z,Indrajeet Patil,"docs

cf. https://github.com/IndrajeetPatil/ggstatsplot/issues/1004",7,"---FILE: R/ggbetweenstats.R---
@@ -132,7 +132,7 @@
 #'   am,
 #'   wt,
 #'   # to remove violin plot
-#'   violin.args = list(width = 0, linewidth = 0),
+#'   violin.args = list(width = 0, linewidth = 0, colour = NA),
 #..."
IndrajeetPatil_ggstatsplot_bug_commits,Documentation / Formatting,c3ef52ecf9,2025-09-11T19:15:31Z,Copilot,"Add whisker customization documentation for ggbetweenstats (#1010)

This PR addresses the user request to modify the whi...",7,"---FILE: R/ggbetweenstats.R---
@@ -63,7 +63,11 @@
 #' @param point.args A list of additional aesthetic arguments to be passed to
 #'   the [`ggplot2::geom_point()`].
 #' @param boxplot.args A list of additional aesthetic..."
IndrajeetPatil_ggstatsplot_bug_commits,Documentation / Formatting,b7350e92b4,2024-11-10T21:08:19Z,Indrajeet Patil,"Bump minimum needed R version (#969)

* Check on older R versions

* bump min to R 4.3

* Update R-CMD-check.yaml
...",7,"---FILE: .github/workflows/R-CMD-check.yaml---
@@ -25,25 +25,16 @@ jobs:
           #- {os: macOS-latest, r: 'devel'}
           - { os: macOS-latest, r: ""release"" }
           - { os: macOS-latest, r: ""oldrel"" }
-      ..."
IndrajeetPatil_ggstatsplot_bug_commits,Environment / Configuration,969099b7f4,2025-09-11T19:13:39Z,dependabot[bot],"Bump actions/setup-python from 5.6.0 to 6.0.0 (#1014)

Bumps [actions/setup-python](https://github.com/actions/setup-pyt...",4,"---FILE: .github/workflows/pre-commit.yaml---
@@ -14,7 +14,7 @@ jobs:
     steps:
       - uses: actions/checkout@v5
 
-      - uses: actions/setup-python@v5.6.0
+      - uses: actions/setup-python@v6.0.0
         with:
..."
IndrajeetPatil_ggstatsplot_bug_commits,Environment / Configuration,df5721d14e,2024-07-16T15:29:38Z,dependabot[bot],"Bump actions/setup-python from 5.1.0 to 5.1.1 (#949)

Bumps [actions/setup-python](https://github.com/actions/setup-pyth...",4,"---FILE: .github/workflows/pre-commit.yaml---
@@ -22,7 +22,7 @@ jobs:
       - uses: actions/checkout@v4
 
       - name: Set up Python
-        uses: actions/setup-python@v5.1.0
+        uses: actions/setup-python@v5.1...."
IndrajeetPatil_ggstatsplot_bug_commits,Dependency / Package,8e67a75173,2025-07-13T05:54:55Z,Indrajeet Patil,fix import warning,7,"---FILE: DESCRIPTION---
@@ -41,6 +41,7 @@ Imports:
     ggsignif (>= 0.6.4),
     glue (>= 1.8.0),
     insight (>= 1.3.1),
+    magrittr (>= 2.0.3),
     paletteer (>= 1.6.0),
     parameters (>= 0.27.0),
     patchwork..."
IndrajeetPatil_ggstatsplot_bug_commits,Dependency / Package,5862391180,2024-11-01T08:00:35Z,Indrajeet Patil,"RC: CRAN 0.12.5 (#968)

* bump statsExpressions

* Update .pre-commit-config.yaml

* Update DESCRIPTION

* Update ...",7,"---FILE: .github/workflows/pkgdown.yaml---
@@ -48,7 +48,7 @@ jobs:
 
       - name: Deploy to GitHub pages 🚀
         if: github.event_name != 'pull_request'
-        uses: JamesIves/github-pages-deploy-action@v4.6.4
+  ..."
IndrajeetPatil_ggstatsplot_bug_commits,Dependency / Package,1efe3c67cc,2022-10-16T12:13:04Z,Indrajeet Patil,"CRAN 0.9.5

* Get ready for CRAN

* Use tidy_model_parameters in ggcoefstats; clean up reexports

* Fix build failur...",7,"---FILE: .github/workflows/check-full.yaml---
@@ -39,6 +39,8 @@ jobs:
       - uses: actions/checkout@v2
 
       - uses: r-lib/actions/setup-pandoc@v2
+        with:
+          pandoc-version: '2.19.2'
 
       - uses: ..."
IndrajeetPatil_ggstatsplot_bug_commits,Visualization / Plotting,5f6b2cb1ac,2025-04-23T20:37:10Z,Indrajeet Patil,"Follow-up on CI for dot plot (#998)

* Follow-up on CI for dot plot

* fix lints

* use devel easystats

* add bayestest...",7,"---FILE: DESCRIPTION---
@@ -40,7 +40,7 @@ Imports:
     ggside (>= 0.3.1),
     ggsignif (>= 0.6.4),
     glue (>= 1.8.0),
-    insight (>= 1.1.0),
+    insight (>= 1.2.0),
     paletteer (>= 1.6.0),
     parameters (>= ..."
IndrajeetPatil_ggstatsplot_bug_commits,Visualization / Plotting,74052d238e,2018-10-07T04:31:06Z,Indrajeet Patil,resolved cname issue with the website,3,"---FILE: docs/CNAME---
@@ -1 +1 @@
-indrajeetpatil.github.io/ggstatsplot/
+indrajeetpatil.github.io

---FILE: docs/articles/combine_plots.html---
@@ -122,7 +122,7 @@
       <h1>combine_plots</h1>
                        ..."
IndrajeetPatil_ggstatsplot_bug_commits,Rendering / Conversion,d312b9f1d4,2024-12-03T07:59:41Z,Indrajeet Patil,"Fix failing tests from easystats updates (#974)

* Style with latest styler

* consolidate warning-as-errors into one ...",6,"---FILE: .github/workflows/check-all-examples.yaml---
@@ -1,49 +0,0 @@
-# Make sure all examples run successfully, even the ones that are not supposed
-# to be run or tested on CRAN machines by default.
-#
-# The example..."
