path,count
R/bb_plotSignal.R.REMOVED.git-id,60
R/bb_readHic.R.REMOVED.git-id,44
R/bb_plotHicSquare.R.REMOVED.git-id,42
R/bb_plotHicTriangle.R.REMOVED.git-id,36
R/bb_plotgenes.R.REMOVED.git-id,36
DESCRIPTION,34
R/bb_plotTranscripts.R.REMOVED.git-id,30
R/bb_plotManhattan.R.REMOVED.git-id,30
R/bb_plotIdeogram.R.REMOVED.git-id,30
R/universal_functions.R.REMOVED.git-id,24
R/bb_plotBedpe.R.REMOVED.git-id,24
R/bb_pageCreate.R.REMOVED.git-id,24
NEWS.md,23
R/bb_annoHeatmapLegend.R.REMOVED.git-id,22
R/bb_plotPairsArches.R.REMOVED.git-id,22
R/bb_plotPairs.R.REMOVED.git-id,22
R/bb_plotRanges.R.REMOVED.git-id,22
R/bb_plothic.R.REMOVED.git-id,20
R/bb_plotBedpeArches.R.REMOVED.git-id,20
R/bb_plotRect.R.REMOVED.git-id,18
man/bb_readHic.Rd.REMOVED.git-id,16
R/bb_plotTriangleHic.R.REMOVED.git-id,16
R/parameterFunctions.R.REMOVED.git-id,16
DESCRIPTION.REMOVED.git-id,16
R/bb_annoGenomeLabel.R.REMOVED.git-id,14
R/bb_pagePlotPlace.R.REMOVED.git-id,14
R/bb_plotRaster.R.REMOVED.git-id,14
NAMESPACE.REMOVED.git-id,14
R/bb_annoHighlight.R.REMOVED.git-id,14
R/bb_plotLegend.R.REMOVED.git-id,14
R/bb_plotText.R.REMOVED.git-id,14
R/bb_plotGenes.R.REMOVED.git-id,14
R/bb_plotGG.R.REMOVED.git-id,14
R/bb_plotGenomeLabel.R.REMOVED.git-id,14
R/bb_plotHicSquare.R.REMOVED.git-id.REMOVED.git-id,13
man/bb_plotHicSquare.Rd.REMOVED.git-id,12
R/bb_plotHicRectangle.R.REMOVED.git-id,12
man/bb_plotIdeogram.Rd.REMOVED.git-id,12
R/bb_annotateLoops.R.REMOVED.git-id,12
man/bb_plotBedpe.Rd.REMOVED.git-id,12
man/bb_plotHic.Rd.REMOVED.git-id,12
R/bb_plotPileup.R.REMOVED.git-id,12
man/bb_annoHeatmapLegend.Rd.REMOVED.git-id,12
man/bb_plotManhattan.Rd.REMOVED.git-id,12
R/BentoBox.R.REMOVED.git-id,12
man/bb_params.Rd.REMOVED.git-id,12
R/bb_plotManhattan.R.REMOVED.git-id.REMOVED.git-id,12
R/bb_plotCircle.R.REMOVED.git-id,12
R/bb_plotPolygon.R.REMOVED.git-id,12
R/bb_plotSegments.R.REMOVED.git-id,12
