path,count
NEWS.md,15
R/lifeduration.R,10
README.md,9
tests/testthat/test-base.R,9
R/deps.R,7
R/check.R,7
R/valid.R,7
R/utils.R,6
R/comapre.R,6
DESCRIPTION,6
R/timemachine.R,6
NAMESPACE,5
man/pac_compare_versions.Rd,5
R/description.R,5
man/pac_deps.Rd,4
R/namespace.R,4
man/pac_compare_namespace.Rd,4
man/pac_validate.Rd,4
man/pac_lifeduration.Rd,4
man/pac_namespace.Rd,4
man/pac_description.Rd,3
man/pac_deps_dev.Rd,3
tests/testthat/test-deps.R,3
R/size.R,3
man/biocran_repos.Rd,3
man/lib_validate.Rd,3
man/pac_health.Rd,3
man/pac_last.Rd,2
vignettes/tinyverse.Rmd,2
pacs-Ex.pdf,2
.Rbuildignore,2
vignettes/Poster.Rmd,2
man/available_packages.Rd,2
man/pac_deps_user.Rd,2
pacs-Ex.Rout,2
vignettes/GettingStarted.Rmd,2
man/pac_islast.Rd,2
R/onlast.R,2
man/pac_timemachine.Rd,2
_pkgdown.yml,1
R/deps_timemachine.R,1
tests/testthat/test-check.R,1
man/app_deps.Rd,1
tests/testthat/test-timemachine.R,1
inst/WORDLIST,1
man/lock_validate.Rd,1
man/pacs_lifeduration.Rd,1
_pkgdown.yaml,1
tests/testthat/test-validate.R,1
man/shiny_app_size.Rd,1
