path,count
NEWS.md,48
R/class.R,33
NAMESPACE,31
R/zzz.R,29
R/property.R,29
R/method.R,22
R/class-spec.R,20
tests/testthat/_snaps/class.md,20
tests/testthat/test-class.R,19
README.Rmd,19
README.md,19
tests/testthat/test-property.R,18
R/generic.R,18
tests/testthat/test-method.R,16
tests/testthat/test-class-spec.R,14
tests/testthat/_snaps/property.md,14
tests/testthat/test-generic.R,13
R/object.R,13
_pkgdown.yml,12
man/method.Rd,12
tests/testthat/_snaps/object.md,12
R/constructor.R,11
tests/testthat/_snaps/generic.md,11
spec/design.md,11
tests/testthat/test-method-dispatch.R,11
man/new_class.Rd,11
R/utils.R,10
tests/testthat/test-object.R,10
tests/testthat/test-zzz.R,10
DESCRIPTION,9
vignettes/case_studies.Rmd,9
src/method-dispatch.c,9
tests/testthat/test-constructor.R,9
R/valid.R,9
R/method-introspect.R,9
src/init.c,8
R/method-dispatch.R,8
man/new_property.Rd,8
man/new_generic.Rd,8
tests/testthat/_snaps/constructor.md,8
tests/testthat/_snaps/method.md,8
vignettes/performance.Rmd,7
R/base.R,7
man/prop.Rd,7
tests/testthat/test-method-register.R,7
tests/testthat/test-external-generic.R,6
tests/testthat/helper.R,6
R/method-register.R,6
vignettes/packages.Rmd,6
tests/testthat/_snaps/method-register.md,6
