path,count
regression.html,49
regression.Rmd,49
regression_files/figure-html/mlr12-1.png,46
regression_files/figure-html/mlr20-1.png,46
regression_files/figure-html/blmm8-1.png,32
regression_files/figure-html/blmm33-1.png,32
regression_files/figure-html/blm6-1.png,30
regression_files/figure-html/blm2-1.png,29
regression_files/figure-html/pr15-1.png,19
regression_files/figure-html/orr5-1.png,18
regression_files/figure-html/orr6-1.png,15
regression_files/figure-html/pr16-1.png,15
basicstatzregression.html,9
basicstatzregression.Rmd,9
fixedregressions_files/figure-html/blm6-1.png,7
fixedregressions.html,7
fixedregressions_files/figure-html/orr5-1.png,7
fixedregressions_files/figure-html/mlr12-1.png,7
fixedregressions_files/figure-html/pr15-1.png,7
fixedregressions.Rmd,7
fixedregressions_files/figure-html/blm2-1.png,7
fixedregressions_files/figure-html/mlr20-1.png,7
bibliography.bib,7
regression_files/figure-html/blm32-1.png,6
regression_files/figure-html/mlr11-1.png,6
regression_files/figure-html/blmm33b-1.png,5
mixedregressions.Rmd,5
regression_files/figure-html/mlr19-1.png,5
regression_files/figure-html/lmm1-1.png,5
regression_files/figure-html/lmm2-1.png,5
regression_files/figure-html/mlr3-1.png,5
_site.yml,5
index.html,5
introviz.Rmd,5
regression_files/figure-html/lmm15-1.png,5
IntroR_workshop.Rmd,5
mmws.Rmd,4
sentiment.Rmd,4
regression_files/figure-html/mlr22-1.png,4
regression_files/figure-html/lmm14-1.png,4
regression_files/figure-html/blmm1-1.png,4
regression_files/figure-html/blmm38-1.png,4
surveys.Rmd,4
regression_files/figure-html/rr3-1.png,4
IntroR_workshop.html,4
regression_files/figure-html/slr6-1.png,4
regression_files/figure-html/slr5-1.png,4
regression_files/figure-html/slr9-1.png,4
regression_files/figure-html/slr1-1.png,4
regression_files/figure-html/slr10-1.png,4
