repo,bug_category,commit_hash,date,author,message,score,diff_snippet
Triangle-Modeling-and-Analytics_TRMG2_bug_commits,Implementation / Logic,7e3017f0cb,2024-07-18T15:08:13Z,Si Shi,Fix scenario comparison tool,6,"---FILE: src/utils/ScenarioComparison.rsc---
@@ -169,7 +169,7 @@ Macro ""Compare Summary Tables"" (MacroOpts)
         {""/output/_summaries/resident_nhb/nhb_trip_stats_by_modeperiod.csv"", {""trip_type"", ""period"", ""mode""}, {..."
Triangle-Modeling-and-Analytics_TRMG2_bug_commits,Implementation / Logic,404ed486b7,2024-07-16T17:54:38Z,Si Shi,"Reporting tools fix

- Revise mode share summary
- Fix bug in the transit comparison tool when switch to table class
- U...",6,"---FILE: src/19 - Summaries.rsc---
@@ -2722,14 +2722,14 @@ Macro ""Performance Measures Reports"" (Args)
     // Build an equivalency array that maps modes to summary mode levels
     equiv = {
       sov: ""sov"",
-      au..."
Triangle-Modeling-and-Analytics_TRMG2_bug_commits,Implementation / Logic,2f212aae14,2024-07-10T20:24:26Z,Kyle Ward,"Set threads to 1 or PM and NT pnr skim

This prevents differences introduced by hyperthreading with a fixed pnr usage ta...",6,"---FILE: src/02 - Network Calculations.rsc---
@@ -1251,6 +1251,9 @@ Macro ""Set Route Network"" (Args, opts)
             if GetFileInfo(Args.(""ReturnParkingLotUsed""+transit_mode)) <> null then do
                 opts.Par..."
Triangle-Modeling-and-Analytics_TRMG2_bug_commits,Rendering / Conversion,bda5b21cf9,2021-02-10T19:16:24Z,Kyle Ward,"Complete first draft of the non-work, NHB regression models",6,"---FILE: docs/data/output/nhb/N_NH_K12_All_hov.csv---
@@ -0,0 +1,5 @@
+trip_type,estimated_as,estimate,std.error,statistic,p.value
+N_HB_K12_All_hov,N_HB_K12_All_hov,0.07793669653454269,0.0032294077493293773,24.133433305..."
Triangle-Modeling-and-Analytics_TRMG2_bug_commits,Rendering / Conversion,9943f22490,2021-05-18T18:53:51Z,David Ory,"correct airport TAZ error, enplane from soc-ec",6,"---FILE: docs/R/airport.R---
@@ -33,9 +33,8 @@ output_production_filename <- paste0(output_dir, ""airport/airport-productions.cs
 
 # Parameters -------------------------------------------------------------------
 SL_AIRP..."
Triangle-Modeling-and-Analytics_TRMG2_bug_commits,Rendering / Conversion,effadde222,2021-08-10T17:42:53Z,David Ory,Corrections for #88,6,"---FILE: .gitignore---
@@ -8,3 +8,4 @@
 .DS_Store
 docs/data/_PRIVATE/*
 docs/site_libs/*
+docs/data/input/ieei/AMSOVDistanceSkim.csv

---FILE: docs/R/airport.R---
@@ -1,20 +1,3 @@
-# Packages ---------------------------..."
Triangle-Modeling-and-Analytics_TRMG2_bug_commits,Data / Input Handling,1efe3459b6,2021-04-15T16:40:13Z,David Ory,fix closest bug,6,"---FILE: src/r_scripts/airport-model.Rmd---
@@ -37,7 +37,7 @@ output_production_filename <- paste0(data_dir, ""airport/airport-productions.csv""
 
 # Parameters
 ```{r parameters}
-AIRPORT_ZONE <- 1261
+SL_AIRPORT_ZONE <- ..."
Triangle-Modeling-and-Analytics_TRMG2_bug_commits,Data / Input Handling,b73ed17b09,2024-02-20T22:14:13Z,Si Shi,Fix formatting issue with MOVES input,4,"---FILE: other/_reportingtool/MOVES/SourceType_param.csv---
@@ -1,105 +1,105 @@
-sourcetypeID,year,styFactor,,
-11,2020,0.029854971,,styFactor based on DAQ number of vehicles for Wake County distributed by MOVES default ..."
Triangle-Modeling-and-Analytics_TRMG2_bug_commits,Data / Input Handling,8f763b4909,2024-01-26T15:15:17Z,Si Shi,v2 project lists revision to correct issues in v1.3,3,"---FILE: scenarios/2030/RoadwayProjectList_CAMPO.csv---
@@ -14,7 +14,6 @@ A16
 A160a
 A160d
 A160e
-A163a1
 A163a2
 A163a3
 A164a2

---FILE: scenarios/2030/RoadwayProjectList_DCHC.csv---
@@ -1,27 +1,28 @@
 ProjID
+910
 1..."
Triangle-Modeling-and-Analytics_TRMG2_bug_commits,File I/O and Export,4a90d44dd7,2021-09-14T03:38:51Z,Kyle Ward,Make minor updates and corrections,6,"---FILE: master/resident/dc/dc_size_terms.csv---
@@ -15,6 +15,6 @@ Office,0,0,1.210459452,0,0.000710174,0,1.394171037,14.0553,0,
 Industry,0,0,0,0,0,0,0,3.687689094,0,
 Retail,0,0,12.42859666,0,1,0.203111539,1.133148453,..."
