path,count
DESCRIPTION,17
NEWS.md,17
NAMESPACE,15
R/VIInternals.R,9
R/Messages.R,9
README.md,8
R/Options.R,8
R/AddXMLInternal.R,7
R/ScatterPlot.R,7
R/Warnings.R,6
R/AddXMLMethod.R,6
R/VIMethod3_TH.R,6
R/SVGThis.R,5
man/TSPlot.Rd,5
R/VIMethod1_JG.R,4
R/BrowseSVG.R,4
R/UpdateGraph.R,4
man/BrailleR-package.Rd,4
man/ScatterPlot.Rd,4
inst/whisker/VIdefault.txt,4
cran-comments.md,3
R/RewriteSVG.R,3
vignettes/qplot.Rmd,3
R/TSPlot.R,3
man/MakeAccessibleSVGMethod.Rd,3
man/UpdateGraph.Rd,3
vignettes/BrailleRPublications.bib,3
vignettes/BrailleRHistory.rmd,3
R/RSprint2023.R,3
man/summary.recordedplot.Rd,3
inst/NEWS,3
R/FindReplace.R,2
man/AddXMLInternal.Rd,2
R/SpellCheckFiles.R,2
man/VI.Rd,2
man/SessionLog.Rd,2
R/UseTemplate.R,2
_pkgdown.yml,2
inst/WORDLIST,2
.Rbuildignore,2
R/PrepareWriteR.R,2
man/VI.ggplot.Rd,2
R/Augment.R,2
R/WhatIs.R,2
vignettes/WriteROptions,2
R/GettingStarted.R,2
R/MakeAccessibleSVGInternal.R,2
R/MakeSlideShow.R,2
R/MakeRmdFiles.R,2
R/Describe.R,2
