path,count
R/internal-functions.R,30
R/samc.R,22
R/cond_passage.R,13
R/check.R,11
R/locate.R,8
R/visitation.R,8
R/dispersal.R,6
tests/testthat/test-mortality.R,5
R/mortality.R,5
NEWS.md,4
src/convolution.cpp,4
R/map.R,4
R/samc-class.R,4
tests/testthat/test-dispersal.R,4
vignettes/example-maze-part1.Rmd,4
R/generics.R,4
R/survival.R,4
R/distribution.R,4
R/RcppExports.R,3
tests/testthat/helper-data.R,3
vignettes/tutorial-locations.Rmd,3
vignettes/overview.Rmd,3
src/RcppExports.cpp,3
R/internal-classes.R,3
tests/testthat/test-distribution.R,3
tests/testthat/test-cond_passage.R,3
src/dispersal.cpp,3
inst/examples/locate.R,2
R/absorption.R,2
NAMESPACE,2
src/solver-cache.cpp,2
inst/CITATION,2
src/solver-cache.h,2
src/cond_passage.cpp,2
tests/testthat/test-visitation.R,2
docs/news/index.html,2
vignettes/scripts/example-maze.R,2
vignettes/troubleshooting.Rmd,2
src/Makevars.win,1
index.md,1
src/samc_types.h,1
src/survival.cpp,1
src/distribution.cpp,1
src/mortality.cpp,1
src/constants.h,1
DESCRIPTION,1
src/convolution.h,1
R/utils-models.R,1
src/visitation.cpp,1
vignettes/tutorial-multiple-absorption.Rmd,1
