repo,bug_category,commit_hash,date,author,message,score,diff_snippet
bcgov_CCISS_ShinyApp_bug_commits,Data / Input Handling,58c2b047c6,2025-06-25T00:18:01Z,Kiri,various updated and bug fixes,6,"---FILE: Deploy_CCISS.R---
@@ -6,18 +6,24 @@ server <- analogsea::droplets()$`shiny-server`
 reset_ssh_sessions()
 droplet_ssh(server, ""rm -R /srv/shiny-server/cciss/server"")
 #analogsea::droplet_ssh(server,""rm -R /srv/s..."
bcgov_CCISS_ShinyApp_bug_commits,Data / Input Handling,35fbd7d8aa,2024-01-21T01:51:58Z,Kiri,Fixed issue with ID not being exported,6,"---FILE: app/server/download.R---
@@ -89,8 +89,13 @@ output$data_download <- downloadHandler(
       saveRDS(uData, ""cciss_export.rds"")
       zip(file,c(""cciss_export.rds"",""./www/downloadable_docs/CCISS_DataExport_MetaD..."
bcgov_CCISS_ShinyApp_bug_commits,Data / Input Handling,06461a953e,2024-08-06T23:59:48Z,Mahony,fixed extension,3,
bcgov_CCISS_ShinyApp_bug_commits,Rendering / Conversion,593a24ed13,2021-03-30T04:08:11Z,Bruno Tremblay,"Add pdf report as described, fix bug with dcast when some columns are not produced, add pagedown dep, fix styling bugs, ...",7,"---FILE: DESCRIPTION---
@@ -23,7 +23,8 @@ Imports:
     flexdashboard (>= 0.5.2.90),
     plotly,
     pool,
-    prettydoc
+    prettydoc,
+    pagedown
 Suggests:
     bcdata,
     bcmaps,
@@ -38,3 +39,4 @@ LinkingTo: ..."
bcgov_CCISS_ShinyApp_bug_commits,Rendering / Conversion,4f15978308,2025-03-28T22:39:41Z,Obrist,Fix merge 2,6,"---FILE: app/server/LeafletSource.R---
@@ -313,7 +313,7 @@ addBGC <- function(map) {
         id:""opacity_slider2"",
         orientation:""horizontal"",
         position:""bottomleft"",
-        logo:\'<img src=""www/opacity..."
bcgov_CCISS_ShinyApp_bug_commits,Rendering / Conversion,656b844f39,2021-09-19T23:50:28Z,Kiri Daust,Bug fixes,6,"---FILE: R/eda_overlap.R---
@@ -84,7 +84,7 @@ edatopicOverlap <- function(BGC,E1,E1_Phase){
   ###forwards overlap
   SS.out <- new[,.(SS.prob = .N,BGC.prop = BGC.prop[1]), 
                 keyby = .(SiteRef,FuturePerio..."
bcgov_CCISS_ShinyApp_bug_commits,Documentation / Formatting,93c690267e,2025-03-24T12:37:28Z,Colin Mahony,remove novel climates article from known issues,7,"---FILE: instructions-raw/4c_NovelClimates.Rmd---
@@ -1,32 +0,0 @@
----
-title: 
-output: 
-    html_document:
-        theme: null
-        highlight: null
-        mathjax: null
-editor_options: 
-  markdown: 
-    wra..."
bcgov_CCISS_ShinyApp_bug_commits,Documentation / Formatting,b5abad4907,2025-03-28T00:34:37Z,Kiri,"fix report downloads, update BEC future plot, feasible etc",6,"---FILE: Deploy_CCISS.R---
@@ -4,7 +4,7 @@ library(ccissr)
 
 server <- analogsea::droplets()$`shiny-server`
 reset_ssh_sessions()
-droplet_ssh(server, ""rm -R /srv/shiny-server/cciss/instructions"")
+#droplet_ssh(server, ..."
bcgov_CCISS_ShinyApp_bug_commits,Documentation / Formatting,cabbeb1c82,2021-09-28T23:04:27Z,Kiri Daust,fixing issues,6,"---FILE: app/index.Rmd---
@@ -1,5 +1,5 @@
 ---
-title: ""The Climate Change Informed Species Selection Tool""
+title: ""The CCISS Tool""
 output: 
   flexdashboard::flex_dashboard:
     orientation: rows
@@ -88,15 +88,15 @@ ..."
bcgov_CCISS_ShinyApp_bug_commits,Visualization / Plotting,0f25fda58a,2021-03-18T04:21:54Z,Bruno Tremblay,fix futures legend and labels,4,"---FILE: app/server/common.R---
@@ -107,7 +107,6 @@ cciss_detailed <- function(cciss) {
 bgc_fut_plotly <- function(data) {
   l <- list(
     font = list(
-      family = ""BCSans"",
       size = 12,
       color = ""#000..."
