path,count
app/server/generate.R,28
app/index.Rmd,15
app/server/feasibility.R,14
app/server/futures.R,12
data-raw/scripts/create_package_data.R,11
R/data_etl.R,11
R/eda_overlap.R,11
app/server/points.R,10
data-raw/scripts/bigshinygisstudio.R,9
app/ui.R,9
R/feasibility.R,7
app/server/download.R,7
app/server/map.R,7
app/server/reporthtml.Rmd,7
app/server.R,6
app/server/reportpdf.Rmd,6
Provincial_Maps.R,6
app/server/LeafletSource.R,5
app/server/silviculture.R,5
R/portfolio_fns.R,4
app/server/generate_portfolio.R,4
app/server/common.R,4
CCISS_Spatial_exports.R,4
instructions-raw/3e_BGCmodel.Rmd,4
spatial_app/app.R,4
Deploy_CCISS.R,3
CCISS_Testing.R,3
data/S1.rda,3
data-raw/scripts/debug_shiny.R,3
DESCRIPTION,3
R/z_data.R,3
man/bccciss-data.Rd,3
app/NoData.gpkg,2
data-raw/scripts/cciss_future_table_downsizing.R,2
.gitignore,2
.Rbuildignore,2
data/N1.rda,2
CFRG_Review.Rmd,2
src/RcppExports.cpp,2
src/ccissdev.cpp,2
data/stocking_standards.rda,2
app/global.R,2
man/edatopicOverlap.Rd,2
instructions-raw/4b_SourcesOfError.Rmd,2
instructions-raw/4a_KnownIssues.Rmd,2
instructions-raw/2b_FeasibilityReport.Rmd,1
instructions-raw/3c_SuitabilityRatings.Rmd,1
instructions-raw/4c_BaselineBGCs.Rmd,1
instructions-raw/4c_BaselineBGCs.html,1
app/cciss_export.csv,1
