repo,bug_category,commit_hash,date,author,message,score,diff_snippet
chapter-three_next-drupal_bug_commits,Implementation / Logic,7a62a3921c,2024-01-25T15:26:00Z,JohnAlbin,"feat(next-drupal): add draft mode for app router pages

Issue #502",6,"---FILE: modules/next/next.post_update.php---
@@ -0,0 +1,15 @@
+<?php
+
+/**
+ * @file
+ * Post update functions for Next.
+ *
+ * All empty post-update hooks ensure the cache is cleared.
+ * @see https://www.drupal.org/..."
chapter-three_next-drupal_bug_commits,Implementation / Logic,951933647b,2022-01-06T08:07:49Z,shadcn,fix(drupal): update config,6,"---FILE: drupal/config/admin_toolbar_tools.settings.yml---
@@ -1,4 +1,4 @@
-max_bundle_number: 20
 _core:
   default_config_hash: RxwZoWRF61FrREs7iffK1ziY2IuKkEci1uWvcznnXwA
+max_bundle_number: 20
 hoverintent_functional..."
chapter-three_next-drupal_bug_commits,Implementation / Logic,9a1ef908c5,2021-02-01T19:00:40Z,arshad,fix: update config,6,"---FILE: examples/drupal-site/config/core.entity_form_display.node.article.default.yml---
@@ -6,6 +6,7 @@ dependencies:
     - field.field.node.article.body
     - field.field.node.article.comment
     - field.field.node..."
chapter-three_next-drupal_bug_commits,Dependency / Package,35a8c7e8c7,2021-06-14T16:59:52Z,arshad,fix: update drupal site,7,"---FILE: .gitignore---
@@ -87,3 +87,4 @@ cypress/screenshots
 *__clone*
 dist
 examples/certificates/*
+examples/drupal-site/web/sites/default/settings.local.php

---FILE: examples/drupal-site/.gitignore---
@@ -26,4 +26,..."
chapter-three_next-drupal_bug_commits,Dependency / Package,11e108a10b,2024-01-17T15:36:40Z,JohnAlbin,"feat(next): update Next.js settings to add draft mode

Issue #502",4,"---FILE: modules/next/composer.json---
@@ -1,6 +1,6 @@
 {
   ""name"": ""drupal/next"",
-  ""description"": ""Next.js + Drupal for Incremental Static Regeneration and Preview mode."",
+  ""description"": ""Next.js + Drupal for Incr..."
chapter-three_next-drupal_bug_commits,Dependency / Package,b0a7fd39c4,2023-10-17T18:27:35Z,John Albin Wilkins,"chore: update GitHub issue templates' package chooser

Issue #554",4,"---FILE: .github/ISSUE_TEMPLATE/bug_report.yml---
@@ -13,6 +13,7 @@ body:
       label: Package containing the bug
       description: What package in this monorepo has the bug?
       options:
+        - Not package-spe..."
chapter-three_next-drupal_bug_commits,Rendering / Conversion,056d8ffeaf,2023-12-14T18:12:47Z,John Albin Wilkins,"ci(next): add Drupal 10.2 to CI test matrix

Fixes #542

Co-authored-by: Matt Glaman <matt.glaman@acquia.com>",3,"---FILE: .github/workflows/next.yml---
@@ -13,13 +13,19 @@ jobs:
     strategy:
       matrix:
         # Supported PHP versions: https://www.drupal.org/docs/getting-started/system-requirements/php-requirements
-        ..."
chapter-three_next-drupal_bug_commits,Rendering / Conversion,c5c8d63e4c,2024-02-21T09:17:47Z,JohnAlbin,"test(next-drupal): reorganize Jest tests

Fixes #608",3,"---FILE: .editorconfig---
@@ -8,3 +8,6 @@ indent_size = 2
 indent_style = space
 insert_final_newline = true
 trim_trailing_whitespace = true
+
+[{*.diff,*.patch}]
+trim_trailing_whitespace = false

---FILE: packages/nex..."
chapter-three_next-drupal_bug_commits,Rendering / Conversion,bb9becc72a,2023-10-13T03:03:34Z,John Albin Wilkins,"ci(next): update CI test matrix (#548)

* ci(next): remove Drupal 9.4 from CI test matrix
* ci(next): add PHP 8.2 to CI...",3,"---FILE: .github/workflows/next-drupal-query.yml---
@@ -8,7 +8,7 @@ jobs:
   build:
     runs-on: ubuntu-latest
     steps:
-      - uses: actions/checkout@v2
+      - uses: actions/checkout@v4
       - name: Install mod..."
chapter-three_next-drupal_bug_commits,Environment / Configuration,13dac2515a,2023-11-29T09:13:22Z,JohnAlbin,"feat: upgrade basic-starter to Next.js v14

Issue #601",6,"---FILE: starters/.gitignore---
@@ -0,0 +1,4 @@
+# Starters should never have a lock file.
+package-lock.json
+pnpm-lock.yaml
+yarn.lock

---FILE: starters/basic-starter/.env.example---
@@ -1,6 +1,15 @@
 # See https://ne..."
