path,count
logistic.Rmd,17
index.Rmd,16
01-r-intro.Rmd,10
slr.Rmd,9
data-and-programming.Rmd,8
anova.Rmd,7
r-intro.Rmd,5
transformations.Rmd,5
diagnostics.Rmd,5
03-slr-inf.Rmd,5
selection.Rmd,5
02-slr.Rmd,5
model-building.Rmd,4
slr-inf.Rmd,4
03-slr.rmd,4
applied_statistics.R,4
mlr.Rmd,4
beyond.Rmd,4
data-summary.Rmd,3
cat-int.Rmd,3
cat_int.Rmd,3
02-r-intro.Rmd,3
04-mlr.Rmd,3
01-introduction.Rmd,2
05-cat_int.Rmd,2
data/example_data.csv,2
prob-and-stat.Rmd,2
02-slr.rmd,2
04-slr-inf.Rmd,2
model_building.Rmd,2
.github/workflows/bookdown.yaml,1
_bookdown.yml,1
collinearity.Rmd,1
data/example-data.csv,1
r-resources.Rmd,1
08-collinearity.Rmd,1
09-selection.Rmd,1
appliedstats.Rproj,1
images/model2.jpg,1
devel/cat_int.html,1
plots.Rmd,1
devel/cat_int.Rmd,1
_output.yml,1
deployment/_build.sh,1
DESCRIPTION,1
06-diagnostics.Rmd,1
images/cc.png,1
course/todo.Rmd,1
data/momma_leona.csv,1
01-world.Rmd,1
