path,count
app/Rmd/report_cetaceans_EN.Rmd,10
app/Rmd/report_fish_EN.Rmd,10
app/Rmd/intro_EN.Rmd,9
app/R/tableFunctions.R,8
app/Rmd/report_planning_EN.Rmd,8
app/Rmd/report_fish_FR.Rmd,7
reports/sections/permits/permits_en.Rmd,7
app/Rmd/report_planning_FR.Rmd,6
app/Rmd/report_SARA_EN.Rmd,6
app/R/renderReport.R,6
app/R/fn_intersect_operations.R,5
dataprocessing/saveOpenData.R,5
app/server.R,5
reports/R/tableFunctions.R,5
app/Rmd/report_cetaceans_FR.Rmd,5
sections/obis/obisCet_en.Rmd,4
sections/obis/obisFish_en.Rmd,4
app/templates/EN/generic_intro.Rmd,4
reports/sections/sarsearch/sarsearch_en.rmd,4
app/Rmd/report_habitat_FR.Rmd,4
app/R/plot_polygons.R,4
tests/testthat/setup_testenv.R,4
reports/sections/permits/permits_preprocessing.R,4
app/Rmd/report_habitat_EN.Rmd,4
tests/testthat/test_functions.R,4
reports/R/intersectFunctions.R,4
app/modules/fullReport.R,4
app/R/plotFunctions.R,4
reports/sections/isdb-marfis/isdbMarfis_en.Rmd,4
reports/sections/power/power_en.rmd,3
reports/sections/nitroLoad/nitroLoad_preprocessing.R,3
reports/sections/run_all_sections.R,3
reports/sections/sturg/sturg_en.Rmd,3
reports/sections/whelk/whelk_en.rmd,3
DESCRIPTION,3
reports/sections/sdm/sdm_en.Rmd,3
reports/sections/benthicEffort/benthicEffort_en.Rmd,3
dataprocessing/SaveDataSets_asRdata.R,3
tests/testthat/help_functions_for_tests.R,3
app/Rmd/intro_FR.Rmd,3
dataprocessing/MakeTestData.R,2
dataprocessing/saveProtectedData.R,2
dataprocessing/saveSecureData.R,2
config.R,2
reports/sections/power/power_preprocessing.R,2
reports/sections/imAcoustic/imAcoustic_preprocessing.R,2
reports/sections/opprrpe/opprrpe_preprocessing.R,2
reports/R/dataFunctions.R,2
reports/dataprocessing/openDataHelpers.R,2
renv.lock,2
