path,count
NEWS.md,68
DESCRIPTION,59
R/cohens_d.R,41
NAMESPACE,35
R/eta_squared.R,29
tests/testthat/test-effectsize.R,24
R/standardize_parameters.R,23
man/cohens_d.Rd,22
R/effectsize.R,21
R/rank_effectsizes.R,21
R/effectsize.htest.R,20
R/print.effectsize_table.R,18
tests/testthat/test-standardize_parameters.R,18
tests/testthat/test-xtab.R,18
tests/testthat/test-standardized_differences.R,18
tests/testthat/test-eta_squared.R,17
man/phi.Rd,16
tests/testthat/test-interpret.R,16
man/rank_biserial.Rd,15
man/effectsize.Rd,15
R/convert_stat_chisq.R,15
README.Rmd,14
R/standardize_info.R,14
R/standardize.models.R,14
R/common_language.R,14
_pkgdown.yml,13
vignettes/standardize_parameters.Rmd,13
man/eta_squared.Rd,13
tests/testthat/test-eta_squared_etc.R,13
R/interpret.R,13
R/utils_validate_input_data.R,13
README.md,13
R/eta_squared-main.R,12
R/convert_between_common_language.R,12
R/eta_squared_posterior.R,11
R/xtab.R,11
tests/testthat/test-rankES.R,11
R/rank_diff.R,11
R/eta_squared-methods.R,10
man/t_to_r.Rd,10
R/xtab_diff.R,10
tests/testthat/test-convert_between.R,10
.github/workflows/R-check.yaml,10
tests/testthat/test-printing.R,9
R/interpret_oddsratio.R,9
R/interpret_bf.R,9
man/chisq_to_phi.Rd,9
R/rank_ANOVA.R,8
vignettes/simple_htests.Rmd,8
R/equivalence_test.R,8
