repo,bug_category,commit_hash,date,author,message,score,diff_snippet
ecmerkle_blavaan_bug_commits,Dependency / Package,02ebd520c7,2023-09-25T18:02:34Z,ecmerkle,fix warnings from cran check,7,"---FILE: NAMESPACE---
@@ -12,7 +12,7 @@ importFrom(""stats"",
            ""runif"", ""sd"", ""quantile"", ""rWishart"", ""cov"", ""cor"",
            ""coef"", ""logLik"",
            ""residuals"", ""resid"",
-           ""fitted.values"", ""f..."
ecmerkle_blavaan_bug_commits,Dependency / Package,04f1ec7e9d,2017-12-15T03:37:14Z,ecmerkle,fix namespace issues with rstan,7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: blavaan
 Title: Bayesian Latent Variable Analysis
-Version: 0.2-5.257
+Version: 0.2-5.259
 Authors@R: c(person(given = ""Edgar"", family = ""Merkle"",
                     ro..."
ecmerkle_blavaan_bug_commits,Dependency / Package,4b6d3bff40,2023-01-23T19:03:44Z,ecmerkle,update test models + fix if() error,7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: blavaan
 Title: Bayesian Latent Variable Analysis
-Version: 0.4-4.1015
+Version: 0.4-4.1016
 Authors@R: c(person(given = ""Edgar"", family = ""Merkle"",
                     ..."
ecmerkle_blavaan_bug_commits,Implementation / Logic,b5526ef260,2025-03-10T21:11:54Z,ecmerkle,fix equality constraints involving correlation matrices,6,"---FILE: R/lav_export_stanmarg.R---
@@ -413,11 +413,11 @@ lav2stanmarg <- function(lavobject, dp, n.chains, inits, wiggle=NULL, wiggle.sd=
     dat <- c(dat, blkres$out)
     frnoblock <- blkres$frnoblock
     blktheta <..."
ecmerkle_blavaan_bug_commits,Implementation / Logic,415a116fd7,2025-03-10T17:43:40Z,ecmerkle,fix some matrix dimensions,6,"---FILE: R/lav_export_stanmarg.R---
@@ -1378,7 +1378,7 @@ block_cov <- function(freemats, fr, mat, skel, Ng, dosam = FALSE) {
     if (dosam) {
       blkgrp <- rep(1:length(blkinfo), times = sapply(blkinfo, function(x) ..."
ecmerkle_blavaan_bug_commits,Implementation / Logic,599161cc26,2025-03-10T16:02:29Z,ecmerkle,fix inits and etc for blocks of theta,6,"---FILE: R/blav_model_loglik.R---
@@ -512,15 +512,15 @@ samp_lls <- function(lavjags        = NULL,
   nchain <- length(lavmcmc)
 
   if(lavoptions$target != ""stan"" | conditional | lavInspect(lavobject, ""categorical"") | ..."
ecmerkle_blavaan_bug_commits,Documentation / Formatting,4df4dea401,2019-07-04T18:59:44Z,merkle,"fix namespace, docs from pull request",7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: blavaan
 Title: Bayesian Latent Variable Analysis
-Version: 0.3-5.450
+Version: 0.3-5.470
 Authors@R: c(person(given = ""Edgar"", family = ""Merkle"",
                     ro..."
ecmerkle_blavaan_bug_commits,Documentation / Formatting,f2d20cd4f2,2020-05-19T15:32:44Z,ecmerkle,fix docs,7,"---FILE: man/bcfa.Rd---
@@ -8,7 +8,8 @@ bcfa(..., cp = ""srs"",
      dp = NULL, n.chains = 3, burnin, sample,
      adapt, mcmcfile = FALSE, mcmcextra = list(), inits = ""prior"",
      convergence = ""manual"", target = ""sta..."
ecmerkle_blavaan_bug_commits,Documentation / Formatting,95c4c62f2b,2023-08-29T20:21:09Z,ecmerkle,fix vignette refs,7,"---FILE: vignettes/multilevel.Rmd---
@@ -1,5 +1,7 @@
 ---
 title: ""Two-level SEM""
+bibliography:
+  - refs.bib
 ---
 
 ```{r echo=FALSE, message=FALSE}"
ecmerkle_blavaan_bug_commits,Rendering / Conversion,037b4b1743,2022-04-27T16:26:51Z,ecmerkle,fix approx fi chunk,3,"---FILE: vignettes/approx_fi.Rmd---
@@ -5,7 +5,7 @@ bibliography:
   - refs.bib
 ---
 
-```{r echo=FALSE, message=FALSE, eval=F}
+```{r pkgld, include=FALSE}
 library(blavaan, quietly=TRUE)
 library(bayesplot)
 ```"
ecmerkle_blavaan_bug_commits,Rendering / Conversion,c2e0636390,2024-12-30T23:10:30Z,ecmerkle,avoid subtraction via -multi_normal_suff because check can mistake it as a flag,0,"---FILE: inst/stan/stanmarg.stan---
@@ -1534,16 +1534,16 @@ model { // N.B.: things declared in the model block do not get saved in the outp
 	target += multi_normal_lpdf(YXstar[r1:r2,1:Nobs[mm]] | Mu[grpidx, obsidx[1:No..."
ecmerkle_blavaan_bug_commits,Rendering / Conversion,73e3c09923,2021-09-03T02:42:00Z,ecmerkle,fix saturated cov computation for loglik,0,"---FILE: src/stan_files/stanmarg.stan---
@@ -975,8 +975,8 @@ generated quantities { // these matrices are saved in the output but do not figu
 	  Mu_rep_sat[grpidx,jj] = mean(YXstar_rep[r1:r2,jj]);
 	}
 	for (jj in r1:r2..."
ecmerkle_blavaan_bug_commits,Reproducibility / Versioning,fbaf2f8725,2022-05-16T16:10:50Z,ecmerkle,fix version dependencies,7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: blavaan
 Title: Bayesian Latent Variable Analysis
-Version: 0.4-4.994
+Version: 0.4-4.995
 Authors@R: c(person(given = ""Edgar"", family = ""Merkle"",
                     ro..."
ecmerkle_blavaan_bug_commits,Reproducibility / Versioning,66cea225ec,2019-06-09T13:29:46Z,merkle,fix RcppEigen version,7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: blavaan
 Title: Bayesian Latent Variable Analysis
-Version: 0.3-5.448
+Version: 0.3-5.450
 Authors@R: c(person(given = ""Edgar"", family = ""Merkle"",
                     ro..."
ecmerkle_blavaan_bug_commits,Reproducibility / Versioning,784a7f6248,2022-03-26T23:20:34Z,lstmemery,Now errors in checks,3,"---FILE: inst/tinytest/tests.blavaan.R---
@@ -87,7 +87,14 @@ expect_equal(class(bcfa(HS.model, data=HolzingerSwineford1939, target=""jags"", do
 
 ## moment match mcmcextra
 
+set.seed(341)
 
+x1 <- rnorm(100)
+y1 <- 0.5 +..."
ecmerkle_blavaan_bug_commits,Data / Input Handling,73421439bb,2018-09-10T19:11:34Z,ecmerkle,finally fix tests/install issues,6,"---FILE: .travis.yml---
@@ -4,7 +4,7 @@ cache: packages
 r_github_packages: yrosseel/lavaan
 
 sudo: required
-warnings_are_errors: false
+warnings_are_errors: true
 
 addons:
   apt:

---FILE: tests/testthat/tests.blava..."
ecmerkle_blavaan_bug_commits,Data / Input Handling,b4ad514dae,2019-07-08T18:20:18Z,ecmerkle,another travis fix,3,"---FILE: .travis.yml---
@@ -39,5 +39,5 @@ matrix:
 
 before_install:
   - mkdir -p ~/.R
-  - echo ""CXX14FLAGS=-O3 -mtune=native -march=native -Wno-unused-variable -Wno-unused-function  -Wno-macro-redefined"" >> ~/.R/Makev..."
ecmerkle_blavaan_bug_commits,Data / Input Handling,db08c82201,2019-12-16T16:46:54Z,ecmerkle,fix set_inits_stan,3,"---FILE: R/set_inits.R---
@@ -151,11 +151,12 @@ set_inits_stan <- function(partable, nfree, n.chains, inits,
   lazyLoad(rloc)
   rosetta <- rosetta
 
-  pricom <- dist2r(freepartable$prior, target = ""stan"")
+  prilist <..."
