path,count
DESCRIPTION,188
R/blavaan.R,80
R/lav_export_stanmarg.R,55
R/blav_utils.R,35
R/lav_export_stan.R,34
R/stanmarg_data.R,24
R/blav_object_methods.R,20
R/postpred.R,20
R/set_priors.R,19
tests/testthat/tests.blavaan.R,16
src/stan_files/stanmarg.stan,16
NEWS.md,16
R/set_partable.R,16
R/lav_export_jags.R,14
R/set_stanpars.R,12
R/blav_object_inspect.R,11
R/margloglik.R,11
inst/stan/stanmarg.stan,10
R/set_inits.R,10
tests/testthat/tests.blavaanobject-methods.R,9
R/set_stancovs.R,9
R/blav_predict.R,8
R/lvgqs.R,8
R/ctr_bayes_fit.R,8
inst/testdata/sysdata.rda,8
NAMESPACE,7
inst/stanfuns/sem_lv_missing.stan,7
R/blav_fit_measures.R,7
man/bsem.Rd,7
.travis.yml,7
R/blav_adapt_quad.R,6
inst/tinytest/tests.blavaanobject-methods.R,6
man/bcfa.Rd,6
man/bgrowth.Rd,5
man/blavaan.Rd,5
man/ppmc.Rd,5
inst/stanfuns/sem_lv.stan,5
R/lav_export_mcmc.R,4
R/blav_compare.R,4
R/blav_model_loglik.R,4
R/ctr_ppmc.R,4
R/dpriors.R,4
inst/stanfuns/sem_mean_eta.stan,4
inst/tinytest/tests.blavaan.R,3
tests/blavaan_examples.R,3
R/blav_fit.R,3
vignettes/plotting.Rmd,3
vignettes/refs.bib,3
man/blavFitIndices.Rd,3
R/blav_cond_utils.R,3
