repo,bug_category,commit_hash,date,author,message,score,diff_snippet
gaynorr_AlphaSimR_bug_commits,Documentation / Formatting,f37f69eec1,2022-03-25T22:22:45Z,Chris Gaynor,Hiding most is* functions due documentation errors,7,"---FILE: NAMESPACE---
@@ -34,7 +34,6 @@ export(gv)
 export(hybridCross)
 export(isFemale)
 export(isMale)
-export(isPop)
 export(makeCross)
 export(makeCross2)
 export(makeDH)

---FILE: R/Class-HybridPop.R---
@@ -121,8 +..."
gaynorr_AlphaSimR_bug_commits,Documentation / Formatting,18c7574ef7,2022-08-25T11:58:04Z,Chris Gaynor,"fixed link to Gaynor, 2017",7,"---FILE: DESCRIPTION---
@@ -1,8 +1,8 @@
 Package: AlphaSimR
 Type: Package
 Title: Breeding Program Simulations
-Version: 1.3.0
-Date: 2022-8-24
+Version: 1.3.1
+Date: 2022-8-25
 Authors@R: c(person(""Chris"", ""Gaynor"", em..."
gaynorr_AlphaSimR_bug_commits,Documentation / Formatting,4c6b03040f,2018-04-12T13:56:40Z,GAYNOR Chris,"-Added NEWS file
-Added selectOP to model selection in open pollinating plants
-Added runMacs2 as a wrapper for runMacs
...",7,"---FILE: NAMESPACE---
@@ -44,12 +44,14 @@ export(randCross)
 export(randCross2)
 export(resetPop)
 export(runMacs)
+export(runMacs2)
 export(sampleHaplo)
 export(selIndex)
 export(selInt)
 export(selectCross)
 export(sel..."
gaynorr_AlphaSimR_bug_commits,Implementation / Logic,c072aed0ed,2024-04-20T20:23:20Z,Chris Gaynor,fix to `mergePops` handling of misc slot,6,"---FILE: R/mergePops.R---
@@ -43,76 +43,102 @@ mergePops = function(popList){
     classes = classes[-remove]
   }
   stopifnot(all(classes==""Pop""))
+  
   #nChr
   nChr = do.call(""c"",lapply(popList,
                    ..."
gaynorr_AlphaSimR_bug_commits,Implementation / Logic,b62e5745e7,2024-01-24T21:57:07Z,Chris Gaynor,fix for #175,6,"---FILE: R/importData.R---
@@ -276,7 +276,7 @@ importHaplo = function(haplo, genMap, ploidy=2L, ped=NULL){
       genMap[[i]] = genMap[[i]] - genMap[[i]]-genMap[[i]][1]
       take = na.omit(take)
     }
-    haplotypes[..."
gaynorr_AlphaSimR_bug_commits,Implementation / Logic,2215f29d6d,2023-02-09T21:02:40Z,AudreyAAMartin,Fix to issue 110 (sortPed),6,"---FILE: R/crossing.R---
@@ -663,24 +663,24 @@ sortPed = function(id, mother, father, maxCycle=100){
     for(i in which(unsorted)){
       if(is.na(output$mother[i])&is.na(output$father[i])){
         # Is a founder
-  ..."
gaynorr_AlphaSimR_bug_commits,Dependency / Package,cb6e1c1c89,2023-07-12T12:08:04Z,Chris Gaynor,Resolving Namespace error,7,"---FILE: DESCRIPTION---
@@ -35,7 +35,7 @@ Depends: R (>= 4.0.0), methods, R6
 Imports: Rcpp (>= 0.12.7), Rdpack
 RdMacros: Rdpack
 LinkingTo: Rcpp, RcppArmadillo (>= 0.7.500.0.0), BH
-RoxygenNote: 7.2.1
+RoxygenNote: 7.2..."
gaynorr_AlphaSimR_bug_commits,Dependency / Package,28bc0655a7,2023-10-30T19:08:15Z,Chris Gaynor,fixed CRAN notes,7,"---FILE: DESCRIPTION---
@@ -1,7 +1,7 @@
 Package: AlphaSimR
 Type: Package
 Title: Breeding Program Simulations
-Version: 1.5.0
+Version: 1.5.1
 Date: 2023-10-30
 Authors@R: c(person(""Chris"", ""Gaynor"", email = ""gaynor.ro..."
gaynorr_AlphaSimR_bug_commits,Dependency / Package,8acf00fbc8,2018-10-01T15:07:04Z,GAYNOR Chris,"Resubmitting to CRAN
Added references to the description
Added lots more examples
Squashed a few bugs",7,"---FILE: DESCRIPTION---
@@ -2,11 +2,31 @@ Package: AlphaSimR
 Type: Package
 Title: Breeding Program Simulations
 Version: 0.8.1
-Date: 2018-9-25
-Authors@R: c(person(""Chris"",""Gaynor"",email=""gaynor.robert@hotmail.com"",ro..."
gaynorr_AlphaSimR_bug_commits,Rendering / Conversion,cc9b011215,2023-03-24T17:05:45Z,Chris Gaynor,Fix for IBD bug,6,"---FILE: DESCRIPTION---
@@ -1,8 +1,8 @@
 Package: AlphaSimR
 Type: Package
 Title: Breeding Program Simulations
-Version: 1.3.4.9990
-Date: 2022-12-13
+Version: 1.4.0
+Date: 2023-3-24
 Authors@R: c(person(""Chris"", ""Gayno..."
gaynorr_AlphaSimR_bug_commits,Rendering / Conversion,f9c1d258be,2019-08-19T13:47:22Z,GAYNOR Chris,-fixed error causing epistatic effects to mask GxE effects,6,"---FILE: .Rbuildignore---
@@ -3,3 +3,4 @@
 Notes.txt
 ^doc$
 ^Meta$
+^drafts$

---FILE: NAMESPACE---
@@ -95,8 +95,10 @@ exportClasses(TraitAG)
 import(Rcpp)
 importFrom(R6,R6Class)
 importFrom(methods,.hasSlot)
+importFr..."
gaynorr_AlphaSimR_bug_commits,Rendering / Conversion,45afa0d0fd,2017-11-27T12:24:43Z,GAYNOR Chris,Patch for multivariate GS,6,"---FILE: DESCRIPTION---
@@ -2,8 +2,7 @@ Package: AlphaSimR
 Type: Package
 Title: Breeding Program Simulations
 Version: 0.4.0
-Author: Chris Gaynor, David Wilson, Daniel Money, Gregor Gorjanc
-Maintainer: Chris Gaynor <..."
gaynorr_AlphaSimR_bug_commits,Reproducibility / Versioning,e4e994d043,2022-12-05T14:04:57Z,Chris Gaynor,"Updating Roxygen version, need to address sprintf issues",7,"---FILE: DESCRIPTION---
@@ -1,7 +1,7 @@
 Package: AlphaSimR
 Type: Package
 Title: Breeding Program Simulations
-Version: 1.3.3
+Version: 1.3.3.9990
 Date: 2022-12-3
 Authors@R: c(person(""Chris"", ""Gaynor"", email = ""gayno..."
gaynorr_AlphaSimR_bug_commits,Reproducibility / Versioning,ecfbc879ac,2022-11-02T13:52:45Z,Chris Gaynor,"version 1.3.2, bugfix patch",7,"---FILE: DESCRIPTION---
@@ -1,8 +1,8 @@
 Package: AlphaSimR
 Type: Package
 Title: Breeding Program Simulations
-Version: 1.3.1.9990
-Date: 2022-9-27
+Version: 1.3.2
+Date: 2022-11-2
 Authors@R: c(person(""Chris"", ""Gaynor..."
