path,count
R/results.R,27
R/plot.R,12
R/backends.R,12
vignettes/brms.Rmd,9
NAMESPACE,9
R/datasets.R,9
vignettes/small_model_workflow.Rmd,8
R/calculate.R,7
vignettes/bad_parametrization.Rmd,6
tests/testthat/test-results.R,6
vignettes/rejection_sampling.Rmd,6
R/backend-bridgesampling.R,6
vignettes/implementing_backends.Rmd,4
tests/testthat/test-datasets.R,4
vignettes/indexing.Rmd,4
R/util.R,4
vignettes/discrete_vars.Rmd,4
vignettes/computational_algorithm1.Rmd,4
man/compute_results.Rd,3
vignettes/limits_of_SBC.Rmd,3
vignettes/basic_usage.Rmd,3
R/brms-helpers.R,3
_pkgdown.yml,3
vignettes/bayes_factor.Rmd,3
R/generator-brms.R,3
R/binary-calibration.R,3
vignettes/SBC.Rmd,2
tests/testthat/test-bridgesampling.R,2
R/diagnostics.R,2
man/SBC_backend_cmdstan_optimize.Rd,2
R/backend-stan-shared.R,2
R/var_attributes.R,2
vignettes/discrete_params.Rmd,2
vignettes/ModelDiagnose.Rmd,2
R/.Rapp.history,2
R/binary-calibration-tests.R,1
R/backend-rstan.R,1
R/backend-cmdstanr.R,1
R/backend-function.R,1
examples/backend-function-example.R,1
R/bayes_factors.R,1
man/rbind.SBC_bridgesampling_diagnostics.Rd,1
man/select.SBC_bridgesampling_diagnostics.Rd,1
tests/testthat/test-var_attributes.R,1
R/backend-brms.R,1
docs/articles/brms_files/figure-html/results_plots-2.png,1
docs/articles/brms_files/figure-html/results_plots-1.png,1
docs/articles/brms_files/figure-html/results_func_plots-2.png,1
docs/articles/brms_files/figure-html/results_func_plots-1.png,1
docs/articles/brms_files/figure-html/results_func2_plots-1.png,1
