path,count
NEWS.rmd,124
DESCRIPTION,119
NEWS,91
NEWS.md,82
.Rhistory,61
inst/shiny-examples/ContDataQC/ui.R,37
R/config.R,28
inst/shiny-examples/ContDataQC/server.R,26
R/fun.QC.R,25
inst/rmd/Report_QC.rmd,22
inst/shiny-examples/ContDataQC/global.R,21
R/zfun.ContDataQC.R,18
inst/rmd/Report_Aggregate.rmd,17
inst/extdata/ContDataQC_LibraryCreation.nb.html,17
R/fun.Stats.R,16
inst/extdata/config.ORIG.R,16
R/fun.QC.File.R,16
inst/extdata/ContDataQC_LibraryCreation.Rmd,16
inst/shiny-examples/ContDataQC/www/Config.R,15
man/ContDataQC.Rd,13
inst/shiny-examples/ContDataQC/www/Config_Template.zip,12
inst/shiny-examples/ContDataQC/www/Config_Template.R,12
README.md,12
R/fun.PeriodStats.R,12
NAMESPACE,12
R/fun.Report.R,11
R/zfun.AggregateData.R,10
inst/rmd/Report_Stats.rmd,9
R/formatHobo.R,9
R/fun.Report.File.R,9
vignettes/ContDataQC_Vignette.Rmd,9
README.Rmd,9
R/fun.Helper.R,9
R/fun.Stats.File.R,9
R/fun.GageData.R,7
man/PeriodStats.Rd,7
man/formatHobo.Rd,7
inst/shiny-examples/ContDataQC/rmd/App_1a_Overview.rmd,7
inst/shiny-examples/ContDataQC/www/RMD_HTML/App_1a_Overview.html,7
inst/shiny-examples/ContDataQC/www/RMD_HTML/App_1b_TestData.html,6
inst/shiny-examples/ContDataQC/rmd/App_1b_TestData.rmd,6
man/fun.QC.Rd,6
data-raw/ProcessFileCopy_Config.R,6
man/fun.Report.File.Rd,6
inst/doc/ContDataQC_Vignette.html,6
man/fun.QC.File.Rd,6
man/Export.StreamThermal.Rd,6
inst/shiny-examples/ContDataQC/www/RMD_HTML/App_1c_FAQ.html,5
inst/shiny-examples/ContDataQC/www/RMD_HTML/App_1d_Tips.html,5
inst/shiny-examples/ContDataQC/rmd/App_1c_FAQ.rmd,5
