path,count
NEWS.md,19
DESCRIPTION,12
README.Rmd,9
R/convert_orthologs.R,6
.github/workflows/R-CMD-check.yaml,6
Dockerfile,6
README.md,6
NAMESPACE,5
tests/testthat/test-map_orthologs_babelgene.R,5
R/map_orthologs.R,5
R/plot_orthotree.R,4
man/convert_orthologs.Rd,4
tests/testthat/test-convert_orthologs.R,4
.github/workflows/check-bioc-docker.yml,4
.github/workflows/dockerhub.yml,3
man/prepare_tree.Rd,3
man/report_orthologs.Rd,3
man/plot_orthotree.Rd,3
R/prepare_tree.R,3
R/all_genes_babelgene.R,3
man/map_orthologs.Rd,3
R/data.R,3
tests/testthat/test-plot_orthotree.R,3
R/aggregate_mapped_genes.R,3
R/map_orthologs_babelgene.R,3
R/ggtree_plot.R,3
man/all_genes_babelgene.Rd,2
man/remove_image_bg.Rd,2
tests/testthat/test-run_benchmark.R,2
vignettes/hexSticker.Rmd,2
tests/testthat/test-report_orthologs.R,2
R/infer_species.R,2
man/dMcast.Rd,2
R/drop_non121.R,2
R/create_background.R,2
R/dMcast.R,2
man/gprofiler_namespace.Rd,2
man/all_species.Rd,2
man/map_species.Rd,2
man/get_silhouettes.Rd,2
R/get_orgdb_genomeinfodbdata.R,2
.Rbuildignore,2
R/report_orthologs.R,2
R/check_rownames_args.R,1
tests/testthat/test-check_rownames_args.R,1
man/ggtree_plot.Rd,1
.github/ISSUE_TEMPLATE/config.yml,1
man/orthogene-package.Rd,1
man/check_bool_args.Rd,1
man/all_genes.Rd,1
