path,count
_toc.yml,9
_config.yml,7
.github/workflows/book.yml,7
glm_intro.Rmd,6
on_modules.Rmd,5
whole_image_statistics.Rmd,5
pathlib.Rmd,4
Makefile,4
images_3d.Rmd,4
regression_notation.Rmd,3
numpy_intro.Rmd,3
on_regression.Rmd,3
_references.bib,2
reshape_and_2d.Rmd,2
reshape_and_3d.Rmd,2
requirements.txt,2
model_one_voxel.Rmd,2
reshape_and_4d.Rmd,2
why_mse_correlation.Rmd,2
bonferroni_correction.Rmd,2
bib/course_refs.bib,2
pages/the_problem.md,2
choosing_editor.md,2
optimizing_space.Rmd,1
rotation_2d_3d.md,1
what_is_an_image.Rmd,1
slice_timing.Rmd,1
assert.Rmd,1
on_convolution.Rmd,1
regress_one_voxel.Rmd,1
os_path.Rmd,1
numpy_logical.Rmd,1
module_directories.Rmd,1
validating_data.Rmd,1
build_requirements.txt,1
path_manipulation.Rmd,1
images/two_d_slices_first_plan.png,1
images/two_d_slices_first_plane.png,1
images/image_plane_stack_col.png,1
images/two_d_second_slice_np.png,1
images/two_d_slice_np.png,1
images/two_d_slices.png,1
images/two_d_slices_first_slab.png,1
reading_text.Rmd,1
images/two_d_slices_without_annotation.png,1
24719.f3_beh_CHYM.csv,1
data/README.md,1
data/24719.f3_beh_CHYM.csv,1
installation.md,1
installation_on_mac.md,1
