path,count
NEWS.md,193
DESCRIPTION,47
R/markdown.R,40
NAMESPACE,37
R/parse.R,34
R/roclet-rd.R,33
vignettes/rd.Rmd,33
R/utils.R,31
R/namespace.R,26
R/roxygenize.R,25
R/rd-inherit.R,24
NEWS,24
R/rd.R,24
tests/testthat/test-namespace.R,22
tests/testthat/test-rd-inherit.R,19
R/parse-preref.R,17
R/utils-rd.R,16
R/object-from-call.R,15
tests/testthat/test-markdown.R,15
R/roclet.R,15
vignettes/rd-formatting.Rmd,13
R/object-defaults.R,13
R/block.R,12
vignettes/namespace.Rmd,12
R/safety.R,12
R/object-package.R,11
R/rd-tag-api.R,11
R/rd-examples.R,11
tests/testthat/test-rd-usage.R,11
inst/tests/test-had.R,11
R/topic.R,11
R/roclet-namespace.R,10
R/roxygen.R,10
man/roxygenize.Rd,10
R/field.R,10
man/roxygen2-package.Rd,10
man/namespace_roclet.Rd,10
tests/testthat/test-rd.R,10
R/tag.R,10
src/parser2.cpp,9
man/roc_proc_text.Rd,9
tests/testthat/test-rd-examples.R,9
R/tag-parser.R,9
R/collate.R,9
tests/testthat/test-markdown-code.R,9
tests/testthat/test-object-from-call.R,8
man/load_options.Rd,8
tests/testthat/test-rd-markdown-links.R,8
R/rd-usage.R,8
R/options.R,8
