repo,bug_category,commit_hash,date,author,message,score,diff_snippet
r-tmap_tmap_bug_commits,Implementation / Logic,d8df955ae5,2013-11-27T15:17:34Z,Martijn Tennekes,"legend positions fixed, (todo: item space in ""none"" mode)",6,"---FILE: pkg/R/geo_layers.R---
@@ -30,7 +30,7 @@ geo.text <-  function(shp, text=names(shp)[1], cex=1) {
 geo.choropleth <- function(shp, col, n = 5,
 							style = ""pretty"",
 							breaks = NULL,
-							palette = ""Rd..."
r-tmap_tmap_bug_commits,Implementation / Logic,2b31be2f37,2025-10-23T19:18:27Z,mtennekes,lty legend fixed,6,"---FILE: R/tmapLeafletComp.R---
@@ -21,7 +21,7 @@ gp_to_lpar = function(gp, mfun, shape = 20, pick_middle = TRUE, size_factor = 20
 				 fill_alpha = {if (!all(is.na(gp$fill_alpha))) gp$fill_alpha else 0},
 				 col_alph..."
r-tmap_tmap_bug_commits,Implementation / Logic,f1f6476ffa,2025-10-03T06:23:17Z,mtennekes,fixed 1197,6,"---FILE: R/tmapLeafletDataPlot_symbols.R---
@@ -46,8 +46,7 @@ tmapLeafletDataPlot.tm_data_symbols = function(a, shpTM, dt, pdt, popup.format,
 		popups = view_format_popups(id = idt, titles = names(pdt), values = pdt, fo..."
r-tmap_tmap_bug_commits,Documentation / Formatting,b39c26fb6b,2025-04-15T19:51:39Z,mtennekes,"options docs done, fixed #1086",7,"---FILE: R/tmapScaleIntervals.R---
@@ -50,7 +50,7 @@ tmapScaleIntervals = function(x1, scale, legend, chart, o, aes, layer, layer_arg
 	if (!is.null(scale$return)) return(scale$return)
 
 	# data-type dependent processin..."
r-tmap_tmap_bug_commits,Documentation / Formatting,1eb23d68b4,2025-04-25T19:05:10Z,Pukar Bhandari,"Update `qtm()` documentation

- Updated documentation to fix the failed checks that failed the first time.",7,"---FILE: man/qtm.Rd---
@@ -6,17 +6,17 @@
 \usage{
 qtm(
   shp = NULL,
-  fill = tm_const(),
-  col = tm_const(),
-  size = tm_const(),
-  shape = tm_const(),
-  lwd = tm_const(),
-  lty = tm_const(),
-  fill_alpha = tm_..."
r-tmap_tmap_bug_commits,Documentation / Formatting,b489984288,2025-01-05T13:23:48Z,mtennekes,"fixed facets_grids legend placement bug, added facets and legend vigs, and completed vignette index",7,"---FILE: R/tmapGridComp.R---
@@ -241,7 +241,7 @@ tmapGridComp = function(comp, o, facet_row = NULL, facet_col = NULL, facet_page,
 		panel_rows = if (class == ""in"") {
 			NULL
 		} else if (o$panel.type == ""xtab"") {
-			..."
r-tmap_tmap_bug_commits,Environment / Configuration,d2a103c795,2018-05-21T11:11:29Z,mtennekes,"improved messaging, fixed #126, done #194",6,"---FILE: .gitignore---
@@ -39,5 +39,8 @@ vignettes/*.md
 # Output
 /output/
 
+# Test output
+/tests/testthat/output/
+
 # R Profile
 .Rprofile
\ No newline at end of file

---FILE: .travis.yml---
@@ -1,5 +1,16 @@
 langu..."
r-tmap_tmap_bug_commits,Environment / Configuration,ed51513a5b,2025-07-23T06:52:19Z,mtennekes,fixed inset frame box,3,"---FILE: R/print.R---
@@ -61,7 +61,7 @@ timing_init = function() {
 
 timing_add = function(s1 = """", s2 = """", s3 = """", s4 = """") {
 	tsx = data.table(s1 = s1, s2 = s2, s3 = s3, s4 = s4, t = Sys.time())
-	ts = data.table::..."
r-tmap_tmap_bug_commits,Environment / Configuration,255d183deb,2023-09-28T15:32:14Z,mtennekes,fixed new bug,3,"---FILE: R/step4_plot.R---
@@ -274,11 +274,12 @@ step4_plot = function(tm, vp, return.asp, show) {
 
 	
 	## place components top left
-	cdt$comp = lapply(cdt$comp, function(cc) {
-		cc$position = l = complete_options(tm..."
r-tmap_tmap_bug_commits,Rendering / Conversion,a1c0a7b357,2025-07-21T16:15:43Z,mtennekes,"fixed wrap-pages bug, added ggplot2 vig",6,"---FILE: R/process_meta.R---
@@ -596,11 +596,17 @@ process_meta = function(o, d, cdt, aux) {
 			} else {
 				panel.type = ""none""
 			}
+			if (nby[3] != 1L) {
+				npages = nby[3]
+			} else {
+				npages = ceiling(n /..."
r-tmap_tmap_bug_commits,Rendering / Conversion,b915555605,2024-12-26T06:59:57Z,mtennekes,"fixed #713, renamed rivers to World_rivers (with catch-warning)",6,"---FILE: R/data.R---
@@ -97,7 +97,8 @@
 #' Spatial data of rivers
 #'
 #' @source <https://www.naturalearthdata.com>
-""rivers""
+#' @note In tmap <= 3, this dataset was called `rivers`.
+""World_rivers""
 
 #' Spatial data ..."
r-tmap_tmap_bug_commits,Rendering / Conversion,dd2ecf667f,2024-12-18T13:36:56Z,olivroy,fix merge conflict,6,"---FILE: vignettes/01_basics_vv.Rmd---
@@ -15,16 +15,9 @@ editor_options:
 ```{r, include = FALSE}
 knitr::opts_chunk$set(
   collapse = TRUE,
-<<<<<<< HEAD
-  warning = FALSE,
-  message = FALSE,
-  fig.width=6, 
-  fig..."
r-tmap_tmap_bug_commits,Dependency / Package,b2b4f3beac,2025-01-07T17:36:42Z,olivroy,"Fix conditions, improve vignettes, add order, use %||%, rm import utils",7,"---FILE: NAMESPACE---
@@ -484,7 +484,6 @@ import(leafsync)
 import(stats)
 import(tmaptools)
 import(units)
-import(utils)
 importFrom(grDevices,col2rgb)
 importFrom(grDevices,colorRampPalette)
 importFrom(grDevices,colo..."
