path,count
R/tmap_options.R,47
R/step4_plot.R,41
R/process_meta.R,40
R/view_tmap.R,34
R/tm_layers.R,32
R/tm_layout.R,29
NAMESPACE,26
R/print_tmap.R,26
DESCRIPTION,25
pkg/R/print_tmap.R,24
R/step1_rearrange.R,24
R/preprocess_shapes.R,24
R/tmapShape.R,24
NEWS,23
man/tm_symbols.Rd,23
R/tmapLeaflet_layers.R,21
R/tmapScaleIntervals.R,21
man/tm_layout.Rd,20
R/tmapScale_defaults.R,19
man/tm_text.Rd,19
examples/tm_symbols.R,18
pkg/R/tm_layers.R,18
man/tmap_options.Rd,17
R/tm_shape.R,17
README.md,16
R/tmapGridAux.R,16
pkg/R/plot_map.R,15
R/process_aes.R,15
R/tm_scale_.R,15
R/tmapGridComp_leg_portrait.R,14
R/tmapGridLegend.R,14
man/tm_polygons.Rd,14
man/tm_lines.Rd,13
pkg/NEWS,13
R/qtm.R,13
R/tmapScaleContinuous.R,13
pkg/R/process_meta.R,13
pkg/R/num2pal.R,13
R/step1_helper_facets.R,13
R/tmapGridComp.R,13
pkg/R/process_bubbles.R,13
R/tmap_options_defaults.R,13
R/tm_legend.R,12
R/tmapScaleDiscrete.R,12
R/step2_helper_data.R,12
pkg/DESCRIPTION,12
R/tmap_save.R,12
R/process_shapes.R,12
R/tmapScale_.R,11
R/tm_layers_symbols.R,11
