repo,bug_category,commit_hash,date,author,message,score,diff_snippet
rjournal_rjournal.github.io_bug_commits,Documentation / Formatting,fd7c048c88,2025-11-21T01:28:56Z,Rob J Hyndman,Added CRAN and R Foundation news for issue 2025-3,7,"---FILE: _issues/2025-3/2025-3.Rmd---
@@ -31,7 +31,9 @@ output:
   rjtools::rjournal_web_issue: default
   rjtools::rjournal_pdf_issue:
     render_all: no
-news: ~ #RJ-2025-3-
+news:
+- RJ-2025-3-cran
+- RJ-2025-3-rfoun..."
rjournal_rjournal.github.io_bug_commits,Documentation / Formatting,02e184dd4b,2025-09-26T01:13:56Z,Rob J Hyndman,"Issue 2025 2 (#106)

* RJ-2025-011 added

* Added RJ-2025-012

* Added RJ-2025-013

* Added RJ-2025-014

* Added RJ-2025...",7,"---FILE: .gitignore---
@@ -19,4 +19,4 @@ _web
 *.aux
 *_cache/
 *_files/
-.history
\ No newline at end of file
+.history/

---FILE: _articles/RJ-2025-011/RJ-2025-011.R---
@@ -0,0 +1,81 @@
+# Generated by `rjournal_pdf_ar..."
rjournal_rjournal.github.io_bug_commits,Documentation / Formatting,e9787062f5,2025-01-22T06:37:12Z,Mitchell O'Hara-Wild,"publish 2024-1 issue (#90)

* Add 2024-1 issue rmd

* Move RJ-2024-001 to first article of 2024-1 issue

* updated e...",7,"---FILE: .gitignore---
@@ -15,3 +15,5 @@ revdep
 cache
 _site
 _web
+*.log
+*.aux

---FILE: _articles/RJ-2023-056/RJ-2023-056.Rmd---
@@ -26,7 +26,7 @@ author:
   - Ciudad Universitaria, Bogotá
   - Colombia
 - name: L.M...."
rjournal_rjournal.github.io_bug_commits,Visualization / Plotting,056f64618a,2025-11-03T04:38:01Z,Mitchell O'Hara-Wild,Fix RJ-2025-038 figure 3 rendering,7,"---FILE: _articles/RJ-2025-028/RJ-2025-028.R---
@@ -1,32 +1,32 @@
 # Generated by `rjournal_pdf_article()` using `knitr::purl()`: do not edit by hand
 # Please edit RJ-2025-028.Rmd to modify this file
 
-## ----setup, in..."
rjournal_rjournal.github.io_bug_commits,Visualization / Plotting,f01ae2b7d9,2025-11-01T23:55:01Z,Mitchell O'Hara-Wild,Fix RJ-2025-030 figure 7 caption,4,"---FILE: _articles/RJ-2025-030/Applications.Rmd---
@@ -379,7 +379,7 @@ Subsequently, a distinct labeling ID is assigned to each microbead, as
 illustrated by a color gradient. Moreover, the contours of each individual
 o..."
rjournal_rjournal.github.io_bug_commits,Visualization / Plotting,829aa52b0f,2013-08-21T16:28:49Z,hadley,Fix broken figure ref,1,"---FILE: share/RJtemplate.tex---
@@ -18,8 +18,8 @@ \section{Section title in sentence case}
 \begin{figure}[htbp]
   \centering
   \includegraphics{Rlogo}
-  \label{figure:rlogo}
   \caption{The logo of R.}
+  \label{fig..."
rjournal_rjournal.github.io_bug_commits,Rendering / Conversion,4ad20e653e,2025-10-30T08:34:34Z,Mitchell O'Hara-Wild,"RJ-2025-028 not self-contained to avoid aria-label pandoc escaping bug

This reverts commit 1de032d025770899ba6939d328bf...",7,"---FILE: _articles/RJ-2025-028/RJ-2025-028.Rmd---
@@ -19,7 +19,7 @@ output:
     toc: no
     keep_tex: yes
   rjtools::rjournal_web_article:
-    self_contained: yes
+    self_contained: no
     toc: no
 header-includes..."
rjournal_rjournal.github.io_bug_commits,Rendering / Conversion,be260fe623,2025-10-30T06:09:34Z,Mitchell O'Hara-Wild,Render 2025-3 issue,7,"---FILE: _issues/2025-3/2025-3.Rmd---
@@ -30,8 +30,8 @@ articles:
 output:
   rjtools::rjournal_web_issue: default
   rjtools::rjournal_pdf_issue:
-    render_all: yes
-news: RJ-2025-3-
+    render_all: no
+news: ~ #RJ-2..."
rjournal_rjournal.github.io_bug_commits,Rendering / Conversion,c0e92fc465,2025-07-17T13:46:40Z,Mark van der Loo,fixed figure width issue in latex,7,"---FILE: _articles/RJ-2024-042/RJ-2024-042.R---
@@ -11,21 +11,21 @@ library(UpAndDownPlots)
 head(data.frame(AutoSalesX))
 
 
-## ----CPI, echo = FALSE, fig.asp = 0.6, fig.cap=""UK Consumer Price Index changes August 2017..."
rjournal_rjournal.github.io_bug_commits,Implementation / Logic,b8eece7885,2025-09-19T00:57:36Z,Mitchell O'Hara-Wild,Fix RJ-2025-004 for pdf,6,"---FILE: _articles/RJ-2025-004/RJ-2025-004.Rmd---
@@ -434,20 +434,17 @@ cartesian_to_spherical(spherical_to_cartesian(theta_phi))
 
 As illustrated in [Section 2](#prelim), we need to provide a sequence of knots and asso..."
