path,count
DESCRIPTION,34
R/zzz.R,22
R/bold_seqspec.R,20
R/bold_tax_name.R,20
R/bold_seq.R,17
R/bold_tax_id.R,16
NAMESPACE,15
R/bold_identify.R,15
R/bold_trace.R,15
R/bold_specimens.R,14
README.md,13
tests/testthat/test-bold_specimens.R,12
man/bold_trace.Rd,12
man/bold_seqspec.Rd,11
man/bold_seq.Rd,11
R/bold_identify_parents.R,11
R/bold_stats.R,11
R/bold-package.R,10
R/utils.R,9
tests/testthat/test-bold_seq.R,9
man/bold_tax_name.Rd,9
man/bold_tax_id.Rd,9
README.Rmd,9
man/bold_specimens.Rd,9
man/bold_identify_parents.Rd,7
tests/testthat/test-bold_tax_name.R,7
tests/testthat/test-bold_seqspec.R,7
tests/testthat/test-bold_identify.R,7
R/bold_tax_id2.R,6
tests/testthat/test-bold_trace.R,6
man/bold_identify.Rd,6
R/bold_filter.R,6
tests/testthat/test-bold_tax_id.R,6
man/bold_stats.Rd,5
man/bold-package.Rd,5
tests/testthat/test-bold_tax_id2.R,5
tests/testthat/setup_cassettes.R,5
tests/testthat/test-bold_stats.R,5
R/bold_identify_taxonomy.R,4
tests/fixtures/bold_tax_name.yml,4
tests/testthat/test-bold_identify_taxonomy.R,4
tests/testthat/test-bold_filter.R,3
tests/testthat/helper-bold.R,3
tests/testthat/test-bold_identify_parents.R,3
man/bold_filter.Rd,3
man-roxygen/args.R,3
.travis.yml,3
.Rbuildignore,3
tests/fixtures/bold_stats.yml,3
NEWS.md,3
