path,count
NEWS.md,54
R/sysdata.rda,42
DESCRIPTION,35
inst/css-precompiled/5/bootstrap.min.css,24
R/bs-theme.R,22
inst/components/dist/components.css,21
inst/css-precompiled/4/bootstrap.min.css,18
_pkgdown.yml,17
README.Rmd,15
R/navs-legacy.R,15
inst/builtin/bs5/shiny/_rules.scss,15
inst/components/dist/components.min.js,14
R/bs-theme-preview.R,14
R/page.R,14
tools/yarn_install.R,14
README.md,14
inst/components/dist/components.js,14
inst/components/scss/sidebar.scss,13
NAMESPACE,13
man/bs_theme.Rd,11
inst/themer-demo/app.R,11
R/utils.R,10
inst/components/dist/components.min.js.map,10
inst/components/dist/components.js.map,10
R/themes.R,9
inst/components/dist/web-components.js,9
inst/components/dist/web-components.min.js,9
.Rbuildignore,9
R/layout.R,9
R/bs_sass.R,9
inst/bs3compat/_navbar_compat.scss,8
R/sidebar.R,8
R/bs-dependencies.R,8
.gitignore,7
R/card.R,7
R/bs-theme-update.R,7
man/bs_global_theme.Rd,7
man/figures/page-navbar.png,6
R/theme-preview.R,6
srcts/src/components/sidebar.ts,6
inst/themer/options.json,6
R/imports.R,6
tests/testthat/test-theme-base-colors.R,6
tests/testthat/_snaps/page.md,6
inst/lib/bs5/scss/_variables.scss,6
vignettes/bs4-variables.Rmd,5
tools/download_bootswatch_fonts.R,5
R/versions.R,5
R/navs.R,5
inst/builtin/bs5/shiny/_variables.scss,5
