path,count
DESCRIPTION,36
NEWS.md,34
README.md,19
tests/testit/test-formats.R,14
R/article.R,12
NEWS,10
R/rjournal_article.R,9
man/article.Rd,9
NAMESPACE,7
R/jss_article.R,7
inst/rmarkdown/templates/elsevier_article/resources/template.tex,6
README.Rmd,6
inst/rmarkdown/templates/pnas_article/resources/template.tex,6
man/copernicus_article.Rd,5
inst/rmarkdown/templates/asa_article/resources/template.tex,5
R/copernicus_article.R,5
inst/rmarkdown/templates/copernicus/resources/template.tex,5
inst/rmarkdown/templates/elsevier/skeleton/skeleton.Rmd,5
.travis.yml,4
inst/rmarkdown/templates/rjournal_article/resources/template.tex,4
inst/rmarkdown/templates/ieee_article/resources/template.tex,4
inst/rmarkdown/templates/mnras_article/resources/template.tex,4
inst/rmarkdown/templates/jss_article/resources/template.tex,4
inst/rmarkdown/templates/pnas_article/skeleton/skeleton.Rmd,4
.github/workflows/R-CMD-check.yaml,4
R/ieee_article.R,4
inst/rmarkdown/templates/springer_article/resources/template.tex,4
.github/ISSUE_TEMPLATE/feature_request.md,4
inst/rmarkdown/templates/arxiv/resources/template.tex,3
inst/rmarkdown/templates/aea_article/resources/template.tex,3
.gitignore,3
inst/rmarkdown/templates/acm_article/resources/template.tex,3
inst/rmarkdown/templates/frontiers_article/resources/template.tex,3
inst/rmarkdown/templates/elsevier/resources/template.tex,3
inst/rmarkdown/templates/peerj_article/skeleton/skeleton.Rmd,3
inst/rmarkdown/templates/plos_article/resources/template.tex,3
inst/rmarkdown/templates/elsevier_article/skeleton/skeleton.Rmd,3
.Rbuildignore,3
inst/rmarkdown/templates/peerj_article/resources/template.tex,3
R/utils.R,3
inst/rmarkdown/templates/copernicus/skeleton/copernicus.cls,3
.github/ISSUE_TEMPLATE.md,3
.github/ISSUE_TEMPLATE/bug_report.md,3
inst/rmarkdown/templates/springer_article/skeleton/skeleton.Rmd,3
inst/rmarkdown/templates/arxiv/skeleton/skeleton.Rmd,2
R/oup_article.R,2
inst/rmarkdown/templates/amq/resources/template.tex,2
man/ieee_article.Rd,2
inst/rmarkdown/templates/ams/resources/template.tex,2
inst/rmarkdown/templates/copernicus/skeleton/skeleton.Rmd,2
