repo,bug_category,commit_hash,date,author,message,score,diff_snippet
satijalab_seurat_bug_commits,Documentation / Formatting,4ebd9f6feb,2016-11-28T14:33:35Z,Andrew Butler,fix FindMarkers documentation,7,"---FILE: R/seurat.R---
@@ -659,7 +659,7 @@ calc.drop.prob=function(x,a,b) {
 #'
 #' @param object Seurat object. Must have object@@cluster.tree slot filled. Use BuildClusterTree() if not.
 #' @param node Node from which ..."
satijalab_seurat_bug_commits,Documentation / Formatting,dd4e282163,2025-06-30T14:50:05Z,YoukaiFromAccounting,Fixed roxygen argument documentation for BuildNicheAssay,7,"---FILE: R/utilities.R---
@@ -3026,6 +3026,7 @@ CreateCategoryMatrix <- function(
 #' @param assay Name for spatial neighborhoods assay
 #' @param cluster.name Name of output clusters
 #' @param neighbors.k Number of nei..."
satijalab_seurat_bug_commits,Documentation / Formatting,0d28aa2cc2,2025-08-01T14:32:07Z,YoukaiFromAccounting,Minor fix to ROxygen tags and DESCRIPTION,7,"---FILE: DESCRIPTION---
@@ -94,6 +94,7 @@ Imports:
 Suggests:
     ape,
     arrow,
+    base64enc,
     Biobase,
     BiocGenerics,
     BPCells,
@@ -110,6 +111,7 @@ Suggests:
     IRanges,
     limma,
     MAST,
+    m..."
satijalab_seurat_bug_commits,Implementation / Logic,34687bd785,2015-03-06T00:00:44Z,Rahul Satija,"added pcHeatmap, fixed mean.var",6,"---FILE: R/seurat.R---
@@ -1384,6 +1384,28 @@ setMethod(""doHeatMap"",""seurat"",
           }
 )
 
+
+setGeneric(""pcHeatmap"", function(object,cells.use=NULL,pc.use=1,num.genes=30,use.full=FALSE, disp.min=-2.5,disp.max=2.5,d..."
satijalab_seurat_bug_commits,Implementation / Logic,df5521fab4,2025-10-22T16:17:29Z,Samuel Marsh,fix axis labeling,6,"---FILE: R/visualization.R---
@@ -4502,7 +4502,7 @@ SpatialPlot <- function(
       )
 
       #Check if object contains a sf slot (attached via Load10X_Spatial)
-      #If so, use sf-geometry based rendering 
+      #If..."
satijalab_seurat_bug_commits,Implementation / Logic,aa59036ee6,2025-10-06T15:43:21Z,YoukaiFromAccounting,Fix typo in RunMixscape,6,"---FILE: R/mixscape.R---
@@ -698,7 +698,7 @@ RunMixscape <- function(
   fine.mode.labels = ""guide_ID"",
   prtb.type = ""KO""
 ) {
-  mmixtools.installed <- requireNamespace('mixtools', quietly = TRUE)
+  mixtools.installe..."
satijalab_seurat_bug_commits,Visualization / Plotting,efc759cfc5,2017-04-19T20:22:58Z,Paul Hoffman,Set title correction for legend in FeaturePlot,4,"---FILE: R/seurat.R---
@@ -2807,7 +2807,7 @@ SingleFeaturePlot <- function(data.use, feature, data.plot, pt.size, pch.use, co
     }
     else{
       p <- p + geom_point(aes(color=gene), size=pt.size, shape=pch.use) +
-..."
satijalab_seurat_bug_commits,Visualization / Plotting,37a1f8f0ce,2017-07-13T15:32:18Z,Paul Hoffman,Fix issue where DarkTheme was overriding no.legend,4,"---FILE: R/plotting.R---
@@ -2095,13 +2095,13 @@ DimPlot <- function(
       geom_point(data = centers, mapping = aes(x = x, y = y), size = 0, alpha = 0) +
       geom_text(data = centers, mapping = aes(label = ident), s..."
satijalab_seurat_bug_commits,Visualization / Plotting,e6ddb67580,2025-10-01T17:00:52Z,Samuel Marsh,fix quotation,3,"---FILE: R/visualization.R---
@@ -4891,8 +4891,8 @@ DotPlot <- function(
       levels = unique(x = feature.groups)
     )
   }
-  plot <- ggplot(data = data.plot, mapping = aes(x = .data[[features.plot]], y = .data[[id]..."
satijalab_seurat_bug_commits,Rendering / Conversion,9969cfb8e6,2023-01-31T14:47:54Z,AustinHartman,dont fail on error,6,"---FILE: vignettes/seurat5_atomic_integration.Rmd---
@@ -24,7 +24,8 @@ knitr::opts_chunk$set(
   fig.width = 10,
   message = FALSE,
   warning = FALSE,
-  time_it = TRUE
+  time_it = TRUE,
+  error = TRUE
 )
 ```
 

---..."
