path,count
R/visualization.R,195
R/preprocessing.R,185
R/objects.R,178
R/seurat.R,176
R/integration.R,157
R/dimensional_reduction.R,130
NAMESPACE,112
DESCRIPTION,106
R/differential_expression.R,92
R/utilities.R,87
R/preprocessing5.R,56
R/plotting.R,44
R/mixscape.R,39
R/spatial.R,35
R/interaction.R,34
R/generics.R,33
R/cluster_determination.R,30
R/clustering.R,30
R/seuratFxns.R,27
man/AddMetaData.Rd,23
R/snn.R,23
tests/testthat/test_preprocessing.R,22
man/FindAllMarkers.Rd,20
NEWS.md,19
R/multi_modal.R,19
man/FindMarkers.Rd,19
man/FeaturePlot.Rd,18
src/RcppExports.cpp,17
R/integration5.R,17
R/plotting_internal.R,15
R/preprocessing_internal.R,14
man/as.loom.Rd,14
tests/testthat/test_seurat_object.R,14
man/FindClusters.Rd,14
man/RunCCA.Rd,12
man/DimPlot.Rd,12
R/RcppExports.R,12
R/conversion.R,12
man/VlnPlot.Rd,12
man/SubsetData.Rd,11
man/NormalizeData.Rd,11
tests/testthat/test_differential_expression.R,11
man/WhichCells.Rd,11
man/ScaleData.Rd,11
src/data_manipulation.cpp,10
R/sketching.R,10
R/convenience.R,10
man/SetAssayData.Rd,10
man/RunPCA.Rd,10
man/DimHeatmap.Rd,10
