path,count
DESCRIPTION,85
NEWS,72
NEWS.md,58
README.md,50
R/sjPlotGLME.R,45
NAMESPACE,43
R/tab_model.R,39
R/sjPlotInteractions.R,36
R/helpfunctions.R,36
R/sjTabLinReg.R,34
man/sjPlot-package.Rd,33
R/sjPlotLinreg.R,32
R/sjPlotFrequencies.R,30
R/plot_model.R,28
R/sjTabOdds.R,27
R/sjPlotGroupFrequencies.R,26
R/sjPlotOdds.R,24
man/plot_model.Rd,23
R/utils.R,21
R/tidiers.R,21
man/sjp.frq.Rd,20
man/sjp.glmer.Rd,20
man/sjp.lmer.Rd,20
man/sjp.int.Rd,20
man/sjp.glm.Rd,19
R/sjPlotCorr.R,19
R/sjPlotAnova.R,19
man/sjp.lm.Rd,18
R/sjTabPropTable.R,18
R/sjPlotSetTheme.R,17
R/sjPlotPropTable.R,17
R/sjTabSPSS.R,17
man/sjp.aov1.Rd,17
R/plot_likert.R,15
R/sjTabFrequencies.R,15
R/plot_grpfrq.R,14
man/sjp.grpfrq.Rd,14
R/sjPlotPCA.R,14
R/html_print.R,14
R/sjPlotLinregMultiple.R,13
R/plot_frq.R,13
R/plot_models.R,13
R/sjPlotLikert.R,13
R/sjPlotStackFrequencies.R,13
man/sjt.lm.Rd,13
R/sjTabItemAnalysis.R,13
man/sjt.glm.Rd,12
man/sjt.itemanalysis.Rd,12
man/tab_model.Rd,12
R/sjPlotClusterAnalysis.R,12
