repo,bug_category,commit_hash,date,author,message,score,diff_snippet
stuart-lab_signac_bug_commits,Implementation / Logic,7ad6e1e4c6,2025-09-03T06:00:34Z,timoast,"Fix background chromosome selection, change number of peaks printed",6,"---FILE: R/links.R---
@@ -213,7 +213,7 @@ ConnectionsToLinks <- function(
 #' using gene IDs rather than gene names.
 #' @param verbose Display messages
 #'
-#' @importFrom SeuratObject GetAssayData
+#' @importFrom Seura..."
stuart-lab_signac_bug_commits,Implementation / Logic,81e895c6f6,2025-08-16T03:06:41Z,timoast,Fix subsetting when RegionMatrix has been run,6,"---FILE: R/heatmaps.R---
@@ -112,6 +112,7 @@ RegionMatrix.ChromatinAssay <- function(
   if (key %in% names(GetAssayData(object, layer = ""positionEnrichment""))) {
     warning(""Requested name is already present, overwrit..."
stuart-lab_signac_bug_commits,Implementation / Logic,2a679f1057,2025-07-18T03:00:44Z,timoast,Fix custom color parameter in RegionHeatmap; #1729,6,"---FILE: R/visualization.R---
@@ -679,7 +679,9 @@ RegionHeatmap <- function(
       stop(""Wrong number of colors supplied. Must give one color per assay"")
     }
     colors_all <- cols
-    if (!all(names(x = colors_all..."
stuart-lab_signac_bug_commits,Data / Input Handling,8846770f90,2025-01-16T04:45:13Z,timoast,Fix motif test,6,"---FILE: tests/testthat/test-motifs.R---
@@ -38,13 +38,12 @@ test_that(""AddMotifs works with fakechr"", {
   ))
   skip_if_not_installed(""motifmatchr"")
   motif <- suppressWarnings(AddMotifs(
-    granges(object)[100:nrow..."
stuart-lab_signac_bug_commits,Data / Input Handling,0c61ed13bb,2020-11-24T21:27:07Z,timoast,Fix test for R <4,3,"---FILE: tests/testthat/test_fragments.R---
@@ -133,8 +133,8 @@ test_that(""SplitFragments works"", {
   of1 <- paste0(tempdir(), .Platform$file.sep, ""0.bed"")
   of2 <- paste0(tempdir(), .Platform$file.sep, ""1.bed"")
 
-  b..."
stuart-lab_signac_bug_commits,Data / Input Handling,9f2e595967,2020-08-09T15:34:59Z,timoast,Fix error,3,"---FILE: .github/workflows/cmd-check.yml---
@@ -71,7 +71,7 @@ jobs:
           }
           install.packages(""Rcpp"", repos=""https://RcppCore.github.io/drat"")
           install.packages(""XML"", repos=""http://www.omegahat...."
stuart-lab_signac_bug_commits,Documentation / Formatting,952ac13b57,2024-08-20T01:07:26Z,timoast,Fix documentation,7,"---FILE: R/iranges-methods.R---
@@ -801,7 +801,7 @@ setMethod(
   }
 )
 
-#' @param drop.empty.ranges See \code{?\link{IRanges}{inter-range-methods}}
+#' @param drop.empty.ranges See \code{?\link[IRanges]{inter-range-met..."
stuart-lab_signac_bug_commits,Documentation / Formatting,1014923c93,2024-08-14T04:13:49Z,timoast,Fix SortIdents documentation,7,"---FILE: R/utilities.R---
@@ -193,8 +193,8 @@ CellsPerGroup <- function(
 #' uses the active identities.
 #' @param dendrogram Logical, whether to plot the dendrogram (default is FALSE).
 #' @param method The distance me..."
stuart-lab_signac_bug_commits,Documentation / Formatting,c0706b63b9,2023-05-25T04:55:02Z,timoast,Fix documentation for FindTopFeatures,7,"---FILE: R/preprocessing.R---
@@ -241,9 +241,9 @@ DownsampleFeatures <- function(
 #' for the object. This can be a percentile specified as 'q' followed by the
 #' minimum percentile, for example 'q5' to set the top 95\%..."
stuart-lab_signac_bug_commits,Environment / Configuration,aa60dad7f1,2024-03-28T08:58:09Z,timoast,Fix self-reference,3,"---FILE: src/Makevars---
@@ -1 +1 @@
-PKG_LIBS = $(PKG_LIBS) -lz
+PKG_LIBS = -lz"
stuart-lab_signac_bug_commits,Environment / Configuration,48081415f4,2020-06-29T15:42:49Z,timoast,Try fixing windows compilation,3,"---FILE: src/Makevars.win---
@@ -0,0 +1 @@
+PKG_LIBS+=-lz"
stuart-lab_signac_bug_commits,Rendering / Conversion,46e330abb2,2020-06-29T18:27:23Z,timoast,Fix links and formatting,6,"---FILE: vignettes/footprint.Rmd---
@@ -12,7 +12,7 @@ library(Seurat)
 ## Data loading
 
 For this vignette we'll use the dataset introduced and pre-processed in the
-[trajectory building vignette](https://satijalab.org/..."
stuart-lab_signac_bug_commits,Rendering / Conversion,51f2b65419,2023-03-07T02:15:33Z,timoast,Fix total count manual calculation; #1350,3,"---FILE: vignettes/pbmc_vignette.Rmd---
@@ -564,6 +564,7 @@ corresponding to the fraction of reads in peaks for each cell.
 ```{r, eval=FALSE}
 # not run
 total_fragments <- CountFragments(""'../vignette_data/atac_v1_pbmc..."
stuart-lab_signac_bug_commits,Rendering / Conversion,ba2d029aee,2023-08-01T04:19:26Z,timoast,fix errors,3,"---FILE: vignettes/pbmc_multiomic.Rmd---
@@ -27,6 +27,9 @@ wget https://cf.10xgenomics.com/samples/cell-arc/1.0.0/pbmc_granulocyte_sorted_1
 </details>
 
 ```{r include=FALSE}
+if (!requireNamespace(""BiocManager"", quietl..."
stuart-lab_signac_bug_commits,Visualization / Plotting,f18a031b88,2022-05-24T13:06:25Z,timoast,Fix typo in axis label; #1127,4,"---FILE: R/visualization.R---
@@ -2174,7 +2174,7 @@ AnnotationPlot <- function(object, region, mode = ""gene"") {
   p <- p +
     theme_classic() +
     ylab(""Genes"") +
-    xlab(label = paste0(chromosome, "" position (kb)..."
stuart-lab_signac_bug_commits,Dependency / Package,5d9d907947,2021-09-22T11:24:17Z,timoast,Fix license,6,"---FILE: DESCRIPTION---
@@ -16,7 +16,7 @@ Description: A framework for the analysis and exploration of single-cell chromat
 Depends:
     R (>= 4.0.0),
     methods
-License: GPL-3 + file LICENSE
+License: MIT + file LIC..."
