path,count
NEWS.md,35
R/read_excel.R,18
src/XlsxWorkSheet.h,18
src/XlsWorkSheet.h,17
DESCRIPTION,16
src/xls.c,15
src/XlsCell.h,14
src/xlstool.c,13
src/XlsxCell.h,13
src/XlsxWorkSheet.cpp,11
README.md,10
src/XlsxWorkBook.h,10
tests/testthat/test-col-types.R,10
tests/testthat/test-missing-values.R,10
src/XlsWorkSheet.cpp,9
src/unix/config.h,9
src/ole.c,9
tests/testthat/test-compatibility.R,9
src/libxls/xlsstruct.h,8
man/read_excel.Rd,8
tests/testthat/test-read-excel.R,8
README.Rmd,8
src/ColSpec.h,7
src/endian.c,7
src/libxls/xlstypes.h,7
src/libxls/xlstool.h,7
src/CellType.h,7
.Rbuildignore,7
src/windows/config.h,6
NAMESPACE,6
src/utils.h,6
src/XlsWorkBook.h,6
docs/reference/read_excel.html,6
R/RcppExports.R,6
tests/testthat/sheets/types.xlsx,6
src/RcppExports.cpp,6
.gitignore,6
docs/news/index.html,6
src/cran.h,5
docs/index.html,5
tests/testthat/test-sheets.R,5
src/Makevars,5
src/libxls/xls.c,5
src/libxls/ole.h,5
tests/testthat/sheets/types.xls,5
R/excel-sheets.R,4
maintenance/02_apply-our-libxls-patches.txt,4
src/libxls/xlstool.c,4
src/libxls/locale.c,4
tests/testthat/test-dates.R,4
