path,count
R/nm.R,52
R/NMprojectExtra.R,44
NAMESPACE,31
R/NMproject.R,29
R/ctl_handling.R,22
DESCRIPTION,16
R/manual_edit.R,14
R/make_project.R,13
R/nm_object.R,11
R/post-run-summaries.R,11
tests/testthat/test-theopp.R,9
tests/testthat/test-basic.R,9
R/run_record.R,9
R/nm_render.R,7
R/sim_reestExtra.R,7
R/nm_gettersetters.R,7
inst/extdata/examples/theopp/Scripts/s02_model_log.Rmd,7
README.md,7
inst/rmarkdown/templates/nm_log/skeleton/skeleton.Rmd,6
inst/extdata/shiny/server.R,6
R/read_ext.R,5
R/subroutine.R,5
tests/testthat/test-nm.R,4
tests/testthat/test-status.R,4
tests/testthat/theopp.zip,4
R/apply_manual_edit.R,4
inst/extdata/theopp.zip,4
R/plot_iter.R,4
man/nm_getsetters.Rd,4
inst/extdata/examples/theopp/Scripts/basic_boot.Rmd,4
man/rr.Rd,4
man/coef_widelong.Rd,4
inst/extdata/shiny/ui.R,4
README.Rmd,4
R/manual-edit.R,4
R/run_nm.R,4
NEWS.md,3
.covrignore,3
R/addin-apps.R,3
tests/testthat/test-plot_iter.R,3
R/potential_deletion.R,3
man/dollar.Rd,3
R/utils.R,3
man/shiny_nm.Rd,3
man/new_nm.Rd,3
man/read_derived_data.Rd,3
man/ppc.Rd,3
inst/extdata/examples/testthat/Scripts/empty_test_setup.R,3
inst/rmarkdown/templates/basic_vpc/skeleton/skeleton.Rmd,3
inst/extdata/examples/theopp/Scripts/s04_covariate_modelling.Rmd,3
