path,count
R/grabMSdataCode.R,18
R/grabMzmlFunctions.R,10
R/grabMzxmlFunctions.R,8
DESCRIPTION,7
.github/workflows/r-check-cran.yml,7
vignettes/Intro-to-RaMS.Rmd,5
vignettes/RaMS-and-friends.Rmd,5
R/tmzMLFunctions.R,4
cran-comments.md,4
R/minifyMSFunctions.R,4
README.md,4
R/grabMzmlCode.R,4
tests/testthat/test_tmzML_things.R,3
tests/testthat/test_errors_n_messes.R,3
tests/testthat/test_extras.R,3
vignettes/Minifying-files-with-RaMS.Rmd,2
NEWS.md,2
tests/testthat/setup-load.R,2
doc/Intro-to-RaMS.Rmd,2
tests/testthat/test-grabMzmlCode.R,2
doc/Intro-to-RaMS.html,2
R/minifyMzmlFunctions.R,2
man/minifyMzxml.Rd,1
man/grabSpectraVoltage.Rd,1
vignettes/Intro-to-tmzML.Rmd,1
man/grabMzxmlSpectraVoltage.Rd,1
man/grabAccessionData.Rd,1
tests/testthat/test_chroms.R,1
vignettes/speed_size_comparison.Rmd,1
doc/Minifying-files-with-RaMS.html,1
doc/RaMS-and-friends.html,1
doc/Minifying-files-with-RaMS.Rmd,1
doc/Intro-to-tmzML.html,1
NAMESPACE,1
man/figures/README-isoexampleplot-1.png,1
inst/extdata/LB12HL_AB.mzML.gz,1
tests/testthat/test_DAD.R,1
man/figures/README-plotfragdata-1.png,1
inst/extdata/DDApos_2.mzML.gz,1
inst/extdata/DDApos_2.mzXML.gz,1
man/figures/README-showbaseplot-1.png,1
man/figures/README-showggplot-1.png,1
tests/testthat/test_trimming_works.R,1
tests/testthat/helper-load.R,1
man/grabMSdata.Rd,1
tests/testthat/test-grabMzmlMs2Code.R,1
man/grabMzmlMS2.Rd,1
tests/testthat.R,1
R/grabData.R,1
inst/extdata/180205_Poo_TruePoo_Full2.mzML,1
