full_name,html_url,stars,pushed_at,r_bytes,topics,reasons,commits_2022,buglike_2022,buglike_share_2022,updated_in_2022,passes_thresholds
4DModeller/fdmr,https://github.com/4DModeller/fdmr,18,2025-02-19T17:32:47Z,100171,,extension:Rmd,0,0,0.0,False,False
ASKurz/Bayesian_power,https://github.com/ASKurz/Bayesian_power,22,2019-07-24T20:44:56Z,0,,extension:Rmd,0,0,0.0,False,False
ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse,https://github.com/ASKurz/Statistical_Rethinking_with_brms_ggplot2_and_the_tidyverse,413,2023-01-26T22:09:50Z,0,bayesian-inference;brms;regression;rethinking;tidyverse,extension:Rmd,49,0,0.0,True,False
ArgoCanada/argoFloats,https://github.com/ArgoCanada/argoFloats,17,2025-03-29T16:43:37Z,628824,argo;ctd;ocean;oceanography,extension:Rmd,116,28,24.1,True,True
Bioconductor/pkgrevdocs,https://github.com/Bioconductor/pkgrevdocs,12,2025-09-12T12:41:47Z,0,,extension:Rmd,24,10,41.7,True,True
BivinSadler/MSDS_6306_Doing-Data-Science,https://github.com/BivinSadler/MSDS_6306_Doing-Data-Science,46,2025-10-07T00:50:21Z,25082,,filename:_site.yml,39,0,0.0,True,False
CBDRH/covoid,https://github.com/CBDRH/covoid,16,2021-09-10T01:45:45Z,483545,,extension:Rmd,0,0,0.0,False,False
CDCgov/MIRA,https://github.com/CDCgov/MIRA,21,2025-09-30T13:37:35Z,0,cdc-influenza-division;genome-annotation;genome-assembly;influenza;irma;ncird-id;quality-control;rsv;sars-cov-2,extension:Rmd,96,9,9.4,True,True
CGUIM-BigDataAnalysis/BigDataCGUIM,https://github.com/CGUIM-BigDataAnalysis/BigDataCGUIM,53,2025-05-24T04:32:46Z,138139,education;r,extension:Rmd,45,0,0.0,True,False
CWWhitney/Decision_Analysis_Course,https://github.com/CWWhitney/Decision_Analysis_Course,24,2025-07-02T13:30:50Z,46574,agriculture;agriculture-research;agroecology;bayesian-inference;bayesian-statistics;decision-analysis;decision-theory,extension:Rmd,61,0,0.0,True,False
CerebralMastication/R-Cookbook,https://github.com/CerebralMastication/R-Cookbook,63,2023-03-05T21:10:46Z,11380,,extension:Rmd,0,0,0.0,False,False
ChicagoBoothML/MachineLearning_Fall2015,https://github.com/ChicagoBoothML/MachineLearning_Fall2015,35,2019-11-24T14:57:47Z,136037,,extension:Rmd,0,0,0.0,False,False
Cocoon-Data-Transformation/cocoon,https://github.com/Cocoon-Data-Transformation/cocoon,173,2025-01-22T19:22:19Z,0,,filename:_site.yml,0,0,0.0,False,False
CodeCutTech/Efficient_Python_tricks_and_tools_for_data_scientists,https://github.com/CodeCutTech/Efficient_Python_tricks_and_tools_for_data_scientists,1476,2025-04-15T15:52:28Z,0,data-science;python;python3,extension:Rmd,217,11,5.1,True,True
ColinFay/golemexample,https://github.com/ColinFay/golemexample,26,2019-10-02T18:23:03Z,15664,,extension:Rmd,0,0,0.0,False,False
Ecofeminita/EcoFemiData,https://github.com/Ecofeminita/EcoFemiData,17,2025-08-01T19:19:03Z,108555,,extension:Rmd,20,0,0.0,True,False
Economic-and-Financial-Data-Discovery/imfdatapy,https://github.com/Economic-and-Financial-Data-Discovery/imfdatapy,14,2024-01-23T08:32:57Z,0,,extension:Rmd,63,6,9.5,True,True
ElectProject/Early-Vote-2020G,https://github.com/ElectProject/Early-Vote-2020G,111,2021-01-06T15:38:44Z,52125,,extension:Rmd,0,0,0.0,False,False
FAO-SID/SOC-Mapping-Cookbook,https://github.com/FAO-SID/SOC-Mapping-Cookbook,28,2020-08-29T01:26:47Z,25903,digital-soil-mapping;soil,extension:Rmd,0,0,0.0,False,False
HewlettPackard/oneview-ansible,https://github.com/HewlettPackard/oneview-ansible,103,2023-11-14T17:09:24Z,0,ansible;ansible-modules;bare-metal;devops;hpe-oneview;infrastructure-as-code,filename:_site.yml,0,0,0.0,False,False
IQSS/Zelig,https://github.com/IQSS/Zelig,111,2023-12-07T18:21:08Z,498605,regression-diagnostics;regression-models;rstats;simulation;statistics;visualization,extension:Rmd,0,0,0.0,False,False
IQSS/dss-workshops,https://github.com/IQSS/dss-workshops,17,2021-02-04T20:52:08Z,182366,python;r;stata;workshop-materials,extension:Rmd,0,0,0.0,False,False
IndrajeetPatil/ggstatsplot,https://github.com/IndrajeetPatil/ggstatsplot,2133,2025-10-13T21:03:20Z,162011,bayes-factors;datascience;dataviz;effect-size;ggplot-extension;hypothesis-testing;non-parametric-statistics;r;regression-models;statistical-analysis,extension:Rmd,68,15,22.1,True,True
InseeFrLab/utilitR,https://github.com/InseeFrLab/utilitR,87,2025-04-22T20:39:10Z,0,documentation;french-speaking;r;rstats;training,extension:Rmd,45,4,8.9,True,False
KDE/rkward,https://github.com/KDE/rkward,26,2025-10-24T01:36:20Z,591917,,extension:Rmd,604,193,32.0,True,True
MarioniLab/milo_analysis_2020,https://github.com/MarioniLab/milo_analysis_2020,14,2022-08-03T14:58:48Z,62298,,extension:Rmd,2,0,0.0,True,False
MilesMcBain/slippymath,https://github.com/MilesMcBain/slippymath,66,2019-07-16T02:55:46Z,22363,google-maps;mapbox;osm;r;slippy-map,extension:Rmd,0,0,0.0,False,False
Model-R/modleR,https://github.com/Model-R/modleR,49,2025-08-09T17:41:07Z,118788,dismo;ecological-niche-models;r;r-package;rstats,extension:Rmd,10,1,10.0,True,False
